date,jumlah_bug
2006-07-31,21
2006-08-01,16
2006-08-02,15
2006-08-03,23
2006-08-04,8
2006-08-05,5
2006-08-06,3
2006-08-07,20
2006-08-08,37
2006-08-09,25
2006-08-10,20
2006-08-11,18
2006-08-12,3
2006-08-13,4
2006-08-14,18
2006-08-15,28
2006-08-16,17
2006-08-17,30
2006-08-18,15
2006-08-19,7
2006-08-20,4
2006-08-21,21
2006-08-22,23
2006-08-23,18
2006-08-24,26
2006-08-25,11
2006-08-26,2
2006-08-27,2
2006-08-28,18
2006-08-29,29
2006-08-30,18
2006-08-31,30
2006-09-01,13
2006-09-02,4
2006-09-03,4
2006-09-04,10
2006-09-05,14
2006-09-06,23
2006-09-07,19
2006-09-08,21
2006-09-09,6
2006-09-10,8
2006-09-11,14
2006-09-12,28
2006-09-13,18
2006-09-14,22
2006-09-15,23
2006-09-16,4
2006-09-17,5
2006-09-18,26
2006-09-19,38
2006-09-20,28
2006-09-21,32
2006-09-22,18
2006-09-23,5
2006-09-24,6
2006-09-25,20
2006-09-26,30
2006-09-27,24
2006-09-28,25
2006-09-29,15
2006-09-30,3
2006-10-01,7
2006-10-02,14
2006-10-03,21
2006-10-04,16
2006-10-05,19
2006-10-06,13
2006-10-07,2
2006-10-08,3
2006-10-09,4
2006-10-10,17
2006-10-11,18
2006-10-12,24
2006-10-13,22
2006-10-14,7
2006-10-15,3
2006-10-16,27
2006-10-17,23
2006-10-18,27
2006-10-19,14
2006-10-20,15
2006-10-21,4
2006-10-22,7
2006-10-23,16
2006-10-24,19
2006-10-25,19
2006-10-26,30
2006-10-27,28
2006-10-28,10
2006-10-29,5
2006-10-30,22
2006-10-31,33
2006-11-01,31
2006-11-02,21
2006-11-03,18
2006-11-04,7
2006-11-05,4
2006-11-06,23
2006-11-07,23
2006-11-08,15
2006-11-09,28
2006-11-10,17
2006-11-11,7
2006-11-12,4
2006-11-13,17
2006-11-14,23
2006-11-15,33
2006-11-16,30
2006-11-17,30
2006-11-18,4
2006-11-19,6
2006-11-20,16
2006-11-21,23
2006-11-22,21
2006-11-23,20
2006-11-24,13
2006-11-25,4
2006-11-26,1
2006-11-27,18
2006-11-28,13
2006-11-29,20
2006-11-30,17
2006-12-01,24
2006-12-02,5
2006-12-03,3
2006-12-04,15
2006-12-05,31
2006-12-06,26
2006-12-07,24
2006-12-08,14
2006-12-09,3
2006-12-10,4
2006-12-11,32
2006-12-12,66
2006-12-13,23
2006-12-14,28
2006-12-15,11
2006-12-16,2
2006-12-17,3
2006-12-18,21
2006-12-19,20
2006-12-20,34
2006-12-21,10
2006-12-22,8
2006-12-23,2
2006-12-24,3
2006-12-25,2
2006-12-26,3
2006-12-27,4
2006-12-28,5
2006-12-29,4
2006-12-30,7
2006-12-31,0
2007-01-01,2
2007-01-02,9
2007-01-03,18
2007-01-04,24
2007-01-05,23
2007-01-06,1
2007-01-07,7
2007-01-08,23
2007-01-09,22
2007-01-10,20
2007-01-11,18
2007-01-12,15
2007-01-13,4
2007-01-14,2
2007-01-15,31
2007-01-16,18
2007-01-17,24
2007-01-18,20
2007-01-19,17
2007-01-20,3
2007-01-21,5
2007-01-22,12
2007-01-23,19
2007-01-24,21
2007-01-25,25
2007-01-26,25
2007-01-27,5
2007-01-28,4
2007-01-29,23
2007-01-30,27
2007-01-31,22
2007-02-01,29
2007-02-02,22
2007-02-03,6
2007-02-04,10
2007-02-05,29
2007-02-06,55
2007-02-07,24
2007-02-08,33
2007-02-09,22
2007-02-10,8
2007-02-11,8
2007-02-12,20
2007-02-13,16
2007-02-14,25
2007-02-15,25
2007-02-16,22
2007-02-17,4
2007-02-18,5
2007-02-19,20
2007-02-20,23
2007-02-21,29
2007-02-22,20
2007-02-23,30
2007-02-24,5
2007-02-25,3
2007-02-26,19
2007-02-27,18
2007-02-28,20
2007-03-01,13
2007-03-02,16
2007-03-03,5
2007-03-04,5
2007-03-05,22
2007-03-06,14
2007-03-07,18
2007-03-08,14
2007-03-09,13
2007-03-10,5
2007-03-11,1
2007-03-12,32
2007-03-13,36
2007-03-14,47
2007-03-15,40
2007-03-16,37
2007-03-17,8
2007-03-18,12
2007-03-19,37
2007-03-20,95
2007-03-21,49
2007-03-22,59
2007-03-23,30
2007-03-24,10
2007-03-25,13
2007-03-26,37
2007-03-27,38
2007-03-28,28
2007-03-29,24
2007-03-30,36
2007-03-31,3
2007-04-01,5
2007-04-02,18
2007-04-03,34
2007-04-04,25
2007-04-05,27
2007-04-06,15
2007-04-07,1
2007-04-08,3
2007-04-09,21
2007-04-10,29
2007-04-11,24
2007-04-12,33
2007-04-13,29
2007-04-14,1
2007-04-15,7
2007-04-16,32
2007-04-17,34
2007-04-18,41
2007-04-19,22
2007-04-20,14
2007-04-21,8
2007-04-22,6
2007-04-23,14
2007-04-24,23
2007-04-25,42
2007-04-26,24
2007-04-27,27
2007-04-28,9
2007-04-29,7
2007-04-30,37
2007-05-01,50
2007-05-02,43
2007-05-03,20
2007-05-04,32
2007-05-05,5
2007-05-06,6
2007-05-07,23
2007-05-08,24
2007-05-09,23
2007-05-10,25
2007-05-11,21
2007-05-12,10
2007-05-13,5
2007-05-14,28
2007-05-15,43
2007-05-16,29
2007-05-17,38
2007-05-18,21
2007-05-19,4
2007-05-20,3
2007-05-21,20
2007-05-22,71
2007-05-23,29
2007-05-24,35
2007-05-25,16
2007-05-26,3
2007-05-27,4
2007-05-28,30
2007-05-29,29
2007-05-30,48
2007-05-31,39
2007-06-01,23
2007-06-02,3
2007-06-03,0
2007-06-04,27
2007-06-05,24
2007-06-06,35
2007-06-07,28
2007-06-08,21
2007-06-09,1
2007-06-10,1
2007-06-11,16
2007-06-12,37
2007-06-13,21
2007-06-14,14
2007-06-15,11
2007-06-16,0
2007-06-17,0
2007-06-18,16
2007-06-19,19
2007-06-20,17
2007-06-21,15
2007-06-22,7
2007-06-23,2
2007-06-24,4
2007-06-25,17
2007-06-26,20
2007-06-27,8
2007-06-28,16
2007-06-29,13
2007-06-30,3
2007-07-01,5
2007-07-02,15
2007-07-03,15
2007-07-04,8
2007-07-05,15
2007-07-06,13
2007-07-07,1
2007-07-08,5
2007-07-09,17
2007-07-10,11
2007-07-11,16
2007-07-12,13
2007-07-13,4
2007-07-14,5
2007-07-15,2
2007-07-16,18
2007-07-17,24
2007-07-18,9
2007-07-19,10
2007-07-20,7
2007-07-21,3
2007-07-22,3
2007-07-23,13
2007-07-24,12
2007-07-25,19
2007-07-26,17
2007-07-27,13
2007-07-28,2
2007-07-29,2
2007-07-30,14
2007-07-31,20
2007-08-01,16
2007-08-02,14
2007-08-03,7
2007-08-04,1
2007-08-05,8
2007-08-06,8
2007-08-07,31
2007-08-08,21
2007-08-09,23
2007-08-10,11
2007-08-11,5
2007-08-12,1
2007-08-13,17
2007-08-14,15
2007-08-15,21
2007-08-16,14
2007-08-17,17
2007-08-18,0
2007-08-19,1
2007-08-20,12
2007-08-21,18
2007-08-22,16
2007-08-23,12
2007-08-24,16
2007-08-25,1
2007-08-26,6
2007-08-27,11
2007-08-28,9
2007-08-29,24
2007-08-30,15
2007-08-31,14
2007-09-01,3
2007-09-02,2
2007-09-03,9
2007-09-04,13
2007-09-05,14
2007-09-06,34
2007-09-07,12
2007-09-08,2
2007-09-09,2
2007-09-10,13
2007-09-11,18
2007-09-12,13
2007-09-13,29
2007-09-14,12
2007-09-15,2
2007-09-16,0
2007-09-17,12
2007-09-18,36
2007-09-19,20
2007-09-20,13
2007-09-21,8
2007-09-22,3
2007-09-23,6
2007-09-24,11
2007-09-25,16
2007-09-26,10
2007-09-27,17
2007-09-28,12
2007-09-29,1
2007-09-30,2
2007-10-01,29
2007-10-02,17
2007-10-03,13
2007-10-04,18
2007-10-05,4
2007-10-06,3
2007-10-07,2
2007-10-08,11
2007-10-09,16
2007-10-10,14
2007-10-11,13
2007-10-12,12
2007-10-13,7
2007-10-14,4
2007-10-15,14
2007-10-16,14
2007-10-17,20
2007-10-18,19
2007-10-19,13
2007-10-20,1
2007-10-21,2
2007-10-22,12
2007-10-23,19
2007-10-24,18
2007-10-25,13
2007-10-26,22
2007-10-27,9
2007-10-28,10
2007-10-29,19
2007-10-30,50
2007-10-31,17
2007-11-01,15
2007-11-02,10
2007-11-03,7
2007-11-04,6
2007-11-05,14
2007-11-06,21
2007-11-07,25
2007-11-08,20
2007-11-09,8
2007-11-10,0
2007-11-11,1
2007-11-12,17
2007-11-13,15
2007-11-14,12
2007-11-15,17
2007-11-16,11
2007-11-17,0
2007-11-18,5
2007-11-19,10
2007-11-20,19
2007-11-21,12
2007-11-22,7
2007-11-23,20
2007-11-24,4
2007-11-25,17
2007-11-26,16
2007-11-27,14
2007-11-28,32
2007-11-29,15
2007-11-30,24
2007-12-01,4
2007-12-02,3
2007-12-03,17
2007-12-04,18
2007-12-05,16
2007-12-06,12
2007-12-07,12
2007-12-08,1
2007-12-09,5
2007-12-10,14
2007-12-11,37
2007-12-12,28
2007-12-13,20
2007-12-14,13
2007-12-15,3
2007-12-16,3
2007-12-17,17
2007-12-18,16
2007-12-19,27
2007-12-20,8
2007-12-21,10
2007-12-22,3
2007-12-23,0
2007-12-24,0
2007-12-25,2
2007-12-26,1
2007-12-27,2
2007-12-28,0
2007-12-29,1
2007-12-30,2
2007-12-31,1
2008-01-01,2
2008-01-02,14
2008-01-03,4
2008-01-04,18
2008-01-05,4
2008-01-06,1
2008-01-07,15
2008-01-08,14
2008-01-09,20
2008-01-10,16
2008-01-11,10
2008-01-12,2
2008-01-13,3
2008-01-14,11
2008-01-15,21
2008-01-16,13
2008-01-17,9
2008-01-18,14
2008-01-19,5
2008-01-20,1
2008-01-21,15
2008-01-22,16
2008-01-23,20
2008-01-24,16
2008-01-25,10
2008-01-26,1
2008-01-27,2
2008-01-28,19
2008-01-29,21
2008-01-30,18
2008-01-31,21
2008-02-01,9
2008-02-02,2
2008-02-03,4
2008-02-04,12
2008-02-05,32
2008-02-06,24
2008-02-07,25
2008-02-08,21
2008-02-09,3
2008-02-10,1
2008-02-11,15
2008-02-12,11
2008-02-13,8
2008-02-14,12
2008-02-15,8
2008-02-16,0
2008-02-17,1
2008-02-18,10
2008-02-19,10
2008-02-20,25
2008-02-21,16
2008-02-22,14
2008-02-23,3
2008-02-24,3
2008-02-25,14
2008-02-26,22
2008-02-27,28
2008-02-28,16
2008-02-29,13
2008-03-01,5
2008-03-02,4
2008-03-03,16
2008-03-04,20
2008-03-05,17
2008-03-06,14
2008-03-07,21
2008-03-08,2
2008-03-09,5
2008-03-10,12
2008-03-11,21
2008-03-12,16
2008-03-13,27
2008-03-14,13
2008-03-15,6
2008-03-16,8
2008-03-17,10
2008-03-18,15
2008-03-19,20
2008-03-20,35
2008-03-21,10
2008-03-22,5
2008-03-23,5
2008-03-24,15
2008-03-25,52
2008-03-26,23
2008-03-27,36
2008-03-28,32
2008-03-29,3
2008-03-30,4
2008-03-31,29
2008-04-01,20
2008-04-02,27
2008-04-03,17
2008-04-04,17
2008-04-05,3
2008-04-06,6
2008-04-07,21
2008-04-08,15
2008-04-09,17
2008-04-10,22
2008-04-11,15
2008-04-12,1
2008-04-13,10
2008-04-14,28
2008-04-15,12
2008-04-16,18
2008-04-17,29
2008-04-18,11
2008-04-19,1
2008-04-20,7
2008-04-21,27
2008-04-22,19
2008-04-23,13
2008-04-24,17
2008-04-25,21
2008-04-26,3
2008-04-27,0
2008-04-28,20
2008-04-29,40
2008-04-30,20
2008-05-01,19
2008-05-02,15
2008-05-03,4
2008-05-04,5
2008-05-05,9
2008-05-06,24
2008-05-07,21
2008-05-08,27
2008-05-09,27
2008-05-10,2
2008-05-11,3
2008-05-12,17
2008-05-13,30
2008-05-14,27
2008-05-15,12
2008-05-16,23
2008-05-17,5
2008-05-18,10
2008-05-19,22
2008-05-20,21
2008-05-21,24
2008-05-22,21
2008-05-23,14
2008-05-24,1
2008-05-25,5
2008-05-26,10
2008-05-27,22
2008-05-28,20
2008-05-29,18
2008-05-30,17
2008-05-31,3
2008-06-01,3
2008-06-02,20
2008-06-03,20
2008-06-04,18
2008-06-05,24
2008-06-06,21
2008-06-07,0
2008-06-08,3
2008-06-09,18
2008-06-10,18
2008-06-11,24
2008-06-12,11
2008-06-13,14
2008-06-14,0
2008-06-15,3
2008-06-16,11
2008-06-17,15
2008-06-18,16
2008-06-19,6
2008-06-20,16
2008-06-21,2
2008-06-22,0
2008-06-23,6
2008-06-24,13
2008-06-25,11
2008-06-26,15
2008-06-27,12
2008-06-28,3
2008-06-29,2
2008-06-30,13
2008-07-01,8
2008-07-02,21
2008-07-03,21
2008-07-04,7
2008-07-05,1
2008-07-06,4
2008-07-07,23
2008-07-08,23
2008-07-09,13
2008-07-10,21
2008-07-11,4
2008-07-12,3
2008-07-13,2
2008-07-14,9
2008-07-15,13
2008-07-16,13
2008-07-17,18
2008-07-18,6
2008-07-19,2
2008-07-20,1
2008-07-21,7
2008-07-22,10
2008-07-23,10
2008-07-24,8
2008-07-25,3
2008-07-26,0
2008-07-27,0
2008-07-28,10
2008-07-29,16
2008-07-30,13
2008-07-31,16
2008-08-01,10
2008-08-02,0
2008-08-03,4
2008-08-04,5
2008-08-05,11
2008-08-06,5
2008-08-07,7
2008-08-08,10
2008-08-09,2
2008-08-10,1
2008-08-11,10
2008-08-12,13
2008-08-13,12
2008-08-14,13
2008-08-15,11
2008-08-16,2
2008-08-17,0
2008-08-18,11
2008-08-19,20
2008-08-20,13
2008-08-21,7
2008-08-22,11
2008-08-23,1
2008-08-24,2
2008-08-25,10
2008-08-26,12
2008-08-27,12
2008-08-28,11
2008-08-29,10
2008-08-30,1
2008-08-31,3
2008-09-01,9
2008-09-02,6
2008-09-03,15
2008-09-04,15
2008-09-05,15
2008-09-06,3
2008-09-07,5
2008-09-08,12
2008-09-09,5
2008-09-10,9
2008-09-11,14
2008-09-12,11
2008-09-13,1
2008-09-14,3
2008-09-15,16
2008-09-16,21
2008-09-17,21
2008-09-18,21
2008-09-19,12
2008-09-20,2
2008-09-21,2
2008-09-22,21
2008-09-23,16
2008-09-24,18
2008-09-25,23
2008-09-26,17
2008-09-27,3
2008-09-28,3
2008-09-29,27
2008-09-30,5
2008-10-01,16
2008-10-02,21
2008-10-03,10
2008-10-04,3
2008-10-05,0
2008-10-06,14
2008-10-07,15
2008-10-08,22
2008-10-09,9
2008-10-10,13
2008-10-11,2
2008-10-12,6
2008-10-13,9
2008-10-14,13
2008-10-15,14
2008-10-16,11
2008-10-17,18
2008-10-18,2
2008-10-19,2
2008-10-20,27
2008-10-21,20
2008-10-22,14
2008-10-23,12
2008-10-24,12
2008-10-25,3
2008-10-26,3
2008-10-27,19
2008-10-28,42
2008-10-29,15
2008-10-30,16
2008-10-31,8
2008-11-01,17
2008-11-02,3
2008-11-03,45
2008-11-04,12
2008-11-05,31
2008-11-06,20
2008-11-07,11
2008-11-08,2
2008-11-09,0
2008-11-10,11
2008-11-11,10
2008-11-12,19
2008-11-13,20
2008-11-14,15
2008-11-15,2
2008-11-16,4
2008-11-17,9
2008-11-18,21
2008-11-19,16
2008-11-20,7
2008-11-21,13
2008-11-22,0
2008-11-23,5
2008-11-24,22
2008-11-25,29
2008-11-26,19
2008-11-27,18
2008-11-28,17
2008-11-29,1
2008-11-30,3
2008-12-01,13
2008-12-02,17
2008-12-03,14
2008-12-04,14
2008-12-05,10
2008-12-06,2
2008-12-07,5
2008-12-08,13
2008-12-09,34
2008-12-10,16
2008-12-11,14
2008-12-12,10
2008-12-13,1
2008-12-14,6
2008-12-15,18
2008-12-16,23
2008-12-17,8
2008-12-18,7
2008-12-19,11
2008-12-20,1
2008-12-21,2
2008-12-22,4
2008-12-23,6
2008-12-24,3
2008-12-25,2
2008-12-26,1
2008-12-27,0
2008-12-28,4
2008-12-29,0
2008-12-30,3
2008-12-31,3
2009-01-01,0
2009-01-02,0
2009-01-03,1
2009-01-04,4
2009-01-05,10
2009-01-06,11
2009-01-07,15
2009-01-08,15
2009-01-09,17
2009-01-10,0
2009-01-11,6
2009-01-12,17
2009-01-13,19
2009-01-14,14
2009-01-15,18
2009-01-16,7
2009-01-17,2
2009-01-18,1
2009-01-19,11
2009-01-20,21
2009-01-21,16
2009-01-22,22
2009-01-23,20
2009-01-24,1
2009-01-25,5
2009-01-26,19
2009-01-27,41
2009-01-28,27
2009-01-29,26
2009-01-30,13
2009-01-31,1
2009-02-01,4
2009-02-02,15
2009-02-03,26
2009-02-04,28
2009-02-05,15
2009-02-06,15
2009-02-07,4
2009-02-08,9
2009-02-09,12
2009-02-10,21
2009-02-11,13
2009-02-12,22
2009-02-13,5
2009-02-14,2
2009-02-15,0
2009-02-16,10
2009-02-17,17
2009-02-18,22
2009-02-19,21
2009-02-20,15
2009-02-21,4
2009-02-22,2
2009-02-23,14
2009-02-24,20
2009-02-25,18
2009-02-26,30
2009-02-27,28
2009-02-28,1
2009-03-01,5
2009-03-02,17
2009-03-03,22
2009-03-04,21
2009-03-05,19
2009-03-06,24
2009-03-07,7
2009-03-08,2
2009-03-09,16
2009-03-10,28
2009-03-11,27
2009-03-12,19
2009-03-13,16
2009-03-14,2
2009-03-15,9
2009-03-16,26
2009-03-17,28
2009-03-18,14
2009-03-19,18
2009-03-20,9
2009-03-21,3
2009-03-22,3
2009-03-23,18
2009-03-24,15
2009-03-25,11
2009-03-26,22
2009-03-27,9
2009-03-28,4
2009-03-29,7
2009-03-30,19
2009-03-31,14
2009-04-01,24
2009-04-02,24
2009-04-03,10
2009-04-04,1
2009-04-05,0
2009-04-06,13
2009-04-07,13
2009-04-08,23
2009-04-09,13
2009-04-10,8
2009-04-11,1
2009-04-12,0
2009-04-13,10
2009-04-14,16
2009-04-15,15
2009-04-16,16
2009-04-17,10
2009-04-18,4
2009-04-19,9
2009-04-20,16
2009-04-21,15
2009-04-22,17
2009-04-23,17
2009-04-24,15
2009-04-25,7
2009-04-26,4
2009-04-27,19
2009-04-28,38
2009-04-29,46
2009-04-30,11
2009-05-01,14
2009-05-02,4
2009-05-03,2
2009-05-04,20
2009-05-05,30
2009-05-06,9
2009-05-07,6
2009-05-08,15
2009-05-09,6
2009-05-10,3
2009-05-11,19
2009-05-12,28
2009-05-13,24
2009-05-14,14
2009-05-15,28
2009-05-16,4
2009-05-17,5
2009-05-18,11
2009-05-19,24
2009-05-20,29
2009-05-21,24
2009-05-22,21
2009-05-23,5
2009-05-24,5
2009-05-25,16
2009-05-26,24
2009-05-27,21
2009-05-28,18
2009-05-29,14
2009-05-30,4
2009-05-31,2
2009-06-01,10
2009-06-02,26
2009-06-03,19
2009-06-04,10
2009-06-05,12
2009-06-06,0
2009-06-07,1
2009-06-08,16
2009-06-09,9
2009-06-10,13
2009-06-11,9
2009-06-12,8
2009-06-13,0
2009-06-14,5
2009-06-15,12
2009-06-16,9
2009-06-17,15
2009-06-18,7
2009-06-19,4
2009-06-20,3
2009-06-21,3
2009-06-22,8
2009-06-23,8
2009-06-24,14
2009-06-25,11
2009-06-26,12
2009-06-27,0
2009-06-28,1
2009-06-29,8
2009-06-30,9
2009-07-01,5
2009-07-02,3
2009-07-03,2
2009-07-04,1
2009-07-05,0
2009-07-06,10
2009-07-07,8
2009-07-08,10
2009-07-09,10
2009-07-10,14
2009-07-11,1
2009-07-12,3
2009-07-13,9
2009-07-14,8
2009-07-15,5
2009-07-16,10
2009-07-17,10
2009-07-18,3
2009-07-19,4
2009-07-20,5
2009-07-21,11
2009-07-22,10
2009-07-23,4
2009-07-24,12
2009-07-25,0
2009-07-26,3
2009-07-27,9
2009-07-28,8
2009-07-29,6
2009-07-30,6
2009-07-31,8
2009-08-01,1
2009-08-02,0
2009-08-03,7
2009-08-04,6
2009-08-05,10
2009-08-06,10
2009-08-07,10
2009-08-08,2
2009-08-09,3
2009-08-10,10
2009-08-11,7
2009-08-12,3
2009-08-13,18
2009-08-14,6
2009-08-15,2
2009-08-16,2
2009-08-17,7
2009-08-18,10
2009-08-19,7
2009-08-20,10
2009-08-21,7
2009-08-22,2
2009-08-23,2
2009-08-24,16
2009-08-25,14
2009-08-26,8
2009-08-27,11
2009-08-28,6
2009-08-29,0
2009-08-30,1
2009-08-31,16
2009-09-01,11
2009-09-02,17
2009-09-03,14
2009-09-04,7
2009-09-05,2
2009-09-06,1
2009-09-07,7
2009-09-08,5
2009-09-09,10
2009-09-10,11
2009-09-11,8
2009-09-12,0
2009-09-13,0
2009-09-14,9
2009-09-15,9
2009-09-16,16
2009-09-17,8
2009-09-18,12
2009-09-19,1
2009-09-20,0
2009-09-21,12
2009-09-22,11
2009-09-23,10
2009-09-24,12
2009-09-25,14
2009-09-26,1
2009-09-27,3
2009-09-28,6
2009-09-29,8
2009-09-30,13
2009-10-01,5
2009-10-02,13
2009-10-03,0
2009-10-04,1
2009-10-05,8
2009-10-06,11
2009-10-07,12
2009-10-08,17
2009-10-09,5
2009-10-10,2
2009-10-11,0
2009-10-12,5
2009-10-13,8
2009-10-14,25
2009-10-15,14
2009-10-16,9
2009-10-17,0
2009-10-18,3
2009-10-19,7
2009-10-20,9
2009-10-21,10
2009-10-22,12
2009-10-23,14
2009-10-24,3
2009-10-25,7
2009-10-26,10
2009-10-27,14
2009-10-28,14
2009-10-29,14
2009-10-30,9
2009-10-31,3
2009-11-01,6
2009-11-02,10
2009-11-03,15
2009-11-04,8
2009-11-05,17
2009-11-06,10
2009-11-07,1
2009-11-08,1
2009-11-09,5
2009-11-10,17
2009-11-11,10
2009-11-12,10
2009-11-13,7
2009-11-14,3
2009-11-15,6
2009-11-16,8
2009-11-17,7
2009-11-18,6
2009-11-19,7
2009-11-20,7
2009-11-21,7
2009-11-22,2
2009-11-23,9
2009-11-24,14
2009-11-25,8
2009-11-26,9
2009-11-27,3
2009-11-28,0
2009-11-29,1
2009-11-30,16
2009-12-01,7
2009-12-02,12
2009-12-03,5
2009-12-04,7
2009-12-05,0
2009-12-06,2
2009-12-07,4
2009-12-08,18
2009-12-09,18
2009-12-10,16
2009-12-11,8
2009-12-12,0
2009-12-13,0
2009-12-14,9
2009-12-15,8
2009-12-16,4
2009-12-17,2
2009-12-18,6
2009-12-19,0
2009-12-20,0
2009-12-21,1
2009-12-22,4
2009-12-23,2
2009-12-24,2
2009-12-25,1
2009-12-26,1
2009-12-27,1
2009-12-28,1
2009-12-29,3
2009-12-30,1
2009-12-31,4
2010-01-01,2
2010-01-02,1
2010-01-03,2
2010-01-04,8
2010-01-05,12
2010-01-06,8
2010-01-07,7
2010-01-08,6
2010-01-09,2
2010-01-10,5
2010-01-11,12
2010-01-12,12
2010-01-13,11
2010-01-14,13
2010-01-15,3
2010-01-16,0
2010-01-17,1
2010-01-18,9
2010-01-19,11
2010-01-20,24
2010-01-21,21
2010-01-22,9
2010-01-23,0
2010-01-24,4
2010-01-25,11
2010-01-26,30
2010-01-27,15
2010-01-28,17
2010-01-29,18
2010-01-30,0
2010-01-31,1
2010-02-01,9
2010-02-02,13
2010-02-03,10
2010-02-04,14
2010-02-05,4
2010-02-06,0
2010-02-07,4
2010-02-08,16
2010-02-09,14
2010-02-10,13
2010-02-11,3
2010-02-12,8
2010-02-13,4
2010-02-14,3
2010-02-15,10
2010-02-16,11
2010-02-17,5
2010-02-18,9
2010-02-19,10
2010-02-20,2
2010-02-21,1
2010-02-22,9
2010-02-23,10
2010-02-24,6
2010-02-25,14
2010-02-26,10
2010-02-27,2
2010-02-28,3
2010-03-01,17
2010-03-02,10
2010-03-03,7
2010-03-04,17
2010-03-05,8
2010-03-06,0
2010-03-07,3
2010-03-08,14
2010-03-09,32
2010-03-10,13
2010-03-11,19
2010-03-12,17
2010-03-13,0
2010-03-14,2
2010-03-15,13
2010-03-16,10
2010-03-17,10
2010-03-18,6
2010-03-19,12
2010-03-20,2
2010-03-21,4
2010-03-22,10
2010-03-23,8
2010-03-24,7
2010-03-25,12
2010-03-26,11
2010-03-27,6
2010-03-28,5
2010-03-29,12
2010-03-30,13
2010-03-31,8
2010-04-01,5
2010-04-02,6
