ukuran_tim,durasi_rencana_hari,anggaran_juta,kompleksitas,pengalaman_tim_tahun,perubahan_requirement,keterlibatan_klien,risiko_teknologi,jumlah_stakeholder,turnover_tim_persen,ketersediaan_sumber_daya,metodologi,terlambat,prediksi_probabilitas
24,160,637.2,3,1.6,3,2,3,19,5.5,4,Waterfall,1,0.7570726257097478
34,310,177.1,1,6.6,1,1,2,12,5.0,5,Waterfall,1,0.36071761960611787
18,355,588.9,3,3.4,2,4,2,19,8.1,1,Agile,1,0.4963735177798639
39,53,591.0,4,2.6,1,5,2,6,0.0,4,Hybrid,1,0.5108689128083878
29,340,480.7,1,1.3,5,3,1,5,20.7,4,Hybrid,1,0.685041706691442
31,77,255.2,5,3.0,5,5,4,11,2.8,5,Agile,1,0.6546087973991065
13,294,849.2,3,1.9,10,1,2,10,4.9,4,Agile,1,0.6261121880731738
40,152,660.8,1,2.2,5,5,3,3,0.1,1,Waterfall,1,0.7195482663670986
8,225,1630.5,2,2.3,3,2,5,18,17.2,2,Waterfall,1,0.4744815897296694
19,119,660.6,5,3.0,8,2,5,8,13.6,5,Agile,1,0.7724102606236662
31,141,892.7,5,1.5,6,1,2,8,7.3,3,Waterfall,1,0.9066860767833335
22,344,1166.2,2,2.1,4,3,3,8,23.5,1,Agile,0,0.46298339200410804
17,232,715.9,5,3.6,3,2,3,7,4.0,5,Hybrid,0,0.5693176090636279
14,187,586.2,3,1.3,4,1,4,11,14.7,5,Waterfall,1,0.7511356812943016
12,70,726.4,4,9.0,2,1,2,20,5.1,1,Waterfall,0,0.4435234793474936
24,123,481.1,2,7.0,3,2,4,17,15.0,1,Agile,0,0.30768113945511244
3,119,514.2,4,6.2,4,3,5,13,5.8,2,Agile,0,0.3512860261372819
20,72,1547.2,4,1.9,5,1,1,5,9.9,1,Agile,1,0.6364912590976468
12,186,703.7,5,1.7,4,4,4,10,17.3,2,Hybrid,1,0.8136695913578071
37,325,601.2,2,2.8,6,3,4,10,11.6,4,Waterfall,0,0.7224802881823202
8,143,961.1,2,4.9,3,3,1,13,17.6,5,Waterfall,0,0.21584751697052368
9,65,950.2,5,5.1,3,2,5,7,3.3,1,Agile,0,0.47734844490799094
32,62,746.3,1,5.4,9,1,3,17,5.8,2,Agile,1,0.5009344691039976
37,86,855.7,2,2.8,4,1,5,17,15.8,2,Agile,1,0.7066432100886947
9,257,597.7,4,0.8,4,2,2,19,12.7,3,Hybrid,1,0.7831874264768247
28,235,1136.0,4,2.4,0,2,3,3,17.8,1,Agile,0,0.5495107474617975
29,79,539.8,5,5.4,6,5,3,10,0.0,2,Hybrid,0,0.6180839045238254
4,282,562.4,2,2.7,4,1,3,12,16.1,2,Waterfall,1,0.6519218336467147
11,226,1335.2,1,0.9,2,5,5,12,15.2,4,Waterfall,0,0.3909882649974349
16,187,669.1,3,6.7,6,3,3,3,7.1,1,Agile,0,0.26497861730012556
24,59,623.1,4,6.3,5,1,2,13,1.9,1,Agile,1,0.4923269710383514
30,166,1117.5,5,3.8,8,1,1,17,23.0,2,Agile,1,0.6578723170051809
22,173,547.5,2,5.7,3,2,5,7,17.9,4,Waterfall,1,0.3725260183873462
27,72,461.8,3,2.2,4,5,1,12,3.6,2,Agile,1,0.593996660369927
14,61,950.5,2,8.5,7,2,5,18,15.9,2,Agile,1,0.26434395874345185
23,175,378.3,4,2.5,7,3,5,4,12.1,5,Hybrid,1,0.8138300799388225
18,304,989.8,5,8.8,4,2,4,5,10.5,2,Agile,1,0.1759451301115593
12,304,930.7,2,0.7,2,2,2,12,4.3,1,Waterfall,0,0.6012802985519607
7,306,1036.9,3,3.1,4,3,3,20,5.4,5,Waterfall,0,0.40141679209161
23,72,926.2,5,5.4,4,3,5,17,3.0,2,Agile,1,0.56582643904305
9,244,528.3,3,3.0,3,1,4,11,0.0,5,Agile,0,0.5025680026272835
24,266,1272.6,5,4.0,4,3,1,13,5.5,1,Agile,1,0.49056374571803796
5,200,689.6,3,0.7,3,5,5,6,1.7,4,Agile,0,0.4878432608799716
18,206,1027.1,5,2.4,3,2,1,5,3.9,1,Agile,1,0.5454510034299968
23,316,582.5,2,1.8,3,2,3,12,2.1,2,Agile,1,0.6390593477768987
3,136,666.9,2,3.0,4,3,1,20,0.0,2,Hybrid,0,0.46627532922186155
20,301,584.2,1,6.2,7,3,1,18,0.0,1,Waterfall,0,0.46737883432105376
20,279,968.7,3,16.6,3,3,4,6,5.0,2,Agile,0,0.08846224318918479
36,158,203.7,5,3.1,3,1,3,10,11.9,5,Agile,1,0.6361169759938751
30,112,699.8,5,1.0,7,2,5,14,12.9,2,Hybrid,1,0.9416007391934155
11,327,360.9,3,7.4,6,1,3,4,12.5,3,Agile,0,0.3068380541789995
5,38,825.3,2,2.6,6,2,1,7,26.9,4,Hybrid,0,0.4682184532585524
9,335,1122.0,1,0.6,5,3,1,17,21.6,1,Agile,0,0.4803547132329763
24,155,470.6,4,2.3,5,1,4,3,18.3,5,Waterfall,1,0.8890557430820598
23,299,982.8,3,5.7,3,2,4,5,15.3,4,Waterfall,1,0.320252362790174
21,136,687.0,3,4.9,1,4,3,4,11.1,2,Waterfall,0,0.4293347916875698
33,167,978.7,4,2.0,1,3,5,19,9.9,5,Waterfall,1,0.7306111168609797
37,33,850.0,2,2.8,4,5,2,14,1.7,4,Agile,0,0.3703845505648025
15,72,435.3,2,3.5,11,4,5,15,15.3,2,Hybrid,1,0.6321531723944698
17,325,437.8,3,7.0,6,2,3,9,3.4,4,Agile,1,0.26133549734622863
35,316,700.8,2,5.9,4,3,1,15,11.2,4,Waterfall,0,0.4109994874892359
6,210,714.9,1,11.0,6,2,4,16,6.5,1,Agile,0,0.20578225747796317
14,37,477.6,4,8.7,3,3,3,8,1.8,5,Agile,0,0.16726423095284415
26,189,608.7,5,7.4,3,1,2,4,18.6,5,Agile,0,0.32428354124336056
37,117,515.9,2,3.5,3,5,2,8,16.8,1,Agile,0,0.4991475784443723
30,63,1135.8,5,8.5,2,2,1,11,13.4,4,Hybrid,0,0.33673886228892647
38,98,481.5,3,4.0,4,3,3,16,18.5,1,Agile,1,0.6639959943300835
16,144,507.8,4,2.4,4,2,1,20,18.0,5,Agile,0,0.6091558452700552
17,249,591.2,4,1.5,4,1,5,8,15.4,5,Waterfall,1,0.866314362667012
39,65,390.0,3,6.4,3,2,1,10,0.0,3,Agile,0,0.3683435224035671
5,95,392.5,1,3.0,2,2,1,11,17.0,5,Waterfall,0,0.40310100002310273
7,325,556.8,3,7.3,1,3,3,16,9.3,3,Agile,0,0.22238462687947613
14,89,511.0,3,3.0,4,2,1,17,20.5,4,Hybrid,1,0.6375221603961052
35,224,381.6,4,8.5,5,1,5,19,9.9,5,Agile,0,0.41219989388665007
10,320,1448.4,2,1.2,3,3,4,3,18.4,3,Agile,0,0.40454790885918807
14,230,794.8,1,4.3,6,5,1,19,12.2,4,Waterfall,0,0.3690501865800799
21,169,722.7,1,2.3,5,4,1,12,13.8,1,Hybrid,0,0.5697154547030864
19,272,424.0,5,2.7,4,5,2,19,20.0,3,Agile,1,0.6077883281372513
24,237,789.9,5,0.8,5,4,3,20,9.9,5,Waterfall,0,0.8416989323768489
37,292,706.1,2,3.7,4,3,2,20,1.0,3,Agile,1,0.43707290166996793
29,249,563.5,1,5.9,2,4,1,9,5.5,5,Agile,0,0.12286040946092584
26,250,272.3,2,5.1,6,5,2,7,13.7,3,Hybrid,1,0.4646564797328236
9,54,982.3,5,6.7,1,4,1,3,5.3,4,Agile,0,0.20882641774642438
28,273,534.8,5,6.9,2,4,5,8,13.6,2,Waterfall,1,0.5960129759095734
15,54,903.1,2,3.7,5,5,1,14,13.5,1,Hybrid,0,0.4260526684451528
32,319,232.8,5,3.5,7,2,5,14,6.7,5,Hybrid,1,0.7885997698444067
34,305,930.2,1,3.2,6,4,5,16,0.0,5,Agile,0,0.3746019281722505
14,143,1512.6,4,7.5,4,4,3,7,11.3,4,Agile,0,0.18578504690867223
11,33,535.5,3,6.5,3,5,4,4,11.4,5,Agile,0,0.1287678546720417
10,90,1383.9,2,3.3,2,4,3,20,26.5,4,Waterfall,0,0.3024525388035162
6,312,1047.0,3,2.3,6,3,4,3,6.8,2,Hybrid,1,0.5117637334570766
16,328,487.6,3,6.1,2,3,1,10,21.2,3,Agile,0,0.23483477974912348
40,64,312.4,3,2.6,5,1,5,14,20.0,5,Agile,0,0.80207926854016
12,298,750.5,4,0.7,2,2,3,14,6.8,5,Waterfall,1,0.7775670516234549
13,74,429.5,2,4.2,4,4,3,15,8.5,1,Agile,0,0.44277790246398346
6,70,1060.7,2,5.6,4,4,2,12,17.6,5,Hybrid,0,0.17137982687194114
21,350,276.3,4,5.4,0,1,3,7,6.5,2,Agile,0,0.5029070194604688
25,279,627.7,4,4.9,3,4,5,11,3.3,4,Hybrid,1,0.5604595733466731
40,211,422.8,2,7.3,3,1,5,6,5.6,5,Waterfall,0,0.4347679980708607
15,132,401.0,2,5.8,5,1,4,14,24.9,5,Hybrid,1,0.4382282745929888
4,124,959.3,4,4.8,5,1,3,4,0.0,5,Agile,0,0.3865429708150583
10,251,1029.1,1,3.6,8,3,3,13,6.5,3,Waterfall,0,0.4626152569378066
25,309,682.2,3,6.8,7,4,1,4,14.2,3,Waterfall,0,0.5164671449360981
34,60,426.2,2,4.8,0,1,3,2,20.2,4,Hybrid,0,0.5794517409514045
17,363,938.5,1,1.9,4,1,3,17,8.2,1,Agile,1,0.5894761322077191
29,151,752.4,2,3.8,3,2,3,15,5.7,2,Waterfall,1,0.650585787305885
39,228,261.5,5,6.7,2,4,2,2,8.4,1,Hybrid,1,0.550164677056895
26,243,714.9,5,5.3,3,4,1,18,10.4,1,Waterfall,1,0.6549063017828828
18,63,220.3,4,16.4,5,2,4,17,21.4,1,Waterfall,0,0.5324794864475058
33,339,386.9,4,2.9,3,5,4,5,1.6,3,Agile,0,0.4991473584434631
40,316,518.3,5,4.8,4,1,4,13,11.3,5,Agile,1,0.6734064510088388
24,283,670.7,3,3.2,1,5,3,9,7.4,4,Hybrid,0,0.4974203097779704
25,221,115.6,2,0.4,1,3,5,13,15.9,3,Agile,1,0.6164883867716084
6,157,184.1,3,2.0,2,4,5,3,19.2,1,Agile,1,0.6683701182524857
19,208,265.6,5,5.9,7,3,3,3,11.6,2,Waterfall,1,0.735940583331052
37,95,1006.0,1,2.7,6,2,2,4,6.4,4,Hybrid,0,0.4574262514889894
8,251,943.6,3,3.7,7,2,2,5,18.6,3,Agile,0,0.3848050522861972
25,268,584.4,1,1.8,6,1,1,19,18.3,4,Hybrid,1,0.6781730332122567
40,43,562.7,5,5.1,4,4,2,6,8.7,2,Waterfall,0,0.709634552790913
21,144,402.9,2,6.3,5,3,3,5,5.8,2,Waterfall,1,0.4442045130478228
4,52,269.7,1,9.8,6,1,5,5,23.5,4,Hybrid,1,0.2837379614620518
36,315,291.9,1,2.1,5,4,3,18,21.5,4,Hybrid,0,0.7408711070638684
15,51,722.2,2,4.1,2,3,1,9,5.8,3,Agile,0,0.250528804848569
18,288,870.0,1,4.8,4,5,5,6,12.5,3,Waterfall,0,0.33372406694493845
38,129,783.1,3,4.2,3,5,4,15,26.1,4,Waterfall,1,0.5290322364078202
21,140,890.4,5,3.5,7,1,5,8,11.0,2,Agile,1,0.7613709521441525
9,283,723.9,1,2.9,2,3,1,10,18.9,2,Waterfall,0,0.4918294643115885
6,72,912.8,3,5.7,4,2,5,2,12.6,4,Waterfall,1,0.3731298165279875
3,304,207.2,1,2.9,8,4,2,10,1.8,5,Agile,0,0.46306229039788066
4,79,557.2,1,8.4,3,5,2,13,16.4,4,Waterfall,0,0.12572019187027267
27,137,1578.0,3,6.9,7,5,1,10,11.6,1,Waterfall,1,0.3193849143698221
21,108,174.6,2,6.1,9,3,2,8,15.7,5,Agile,0,0.3055830343561194
18,271,712.3,2,4.4,3,1,5,7,16.8,2,Agile,0,0.5144001256803854
40,357,581.2,3,8.1,2,3,4,19,0.0,5,Hybrid,0,0.27342279938530833
23,344,752.0,5,12.0,4,4,3,14,10.9,4,Agile,0,0.23550146412104933
4,145,440.7,5,2.9,4,3,4,16,24.2,5,Agile,1,0.5663179373761861
21,183,837.3,4,7.0,4,3,1,8,3.2,3,Agile,0,0.24217230121295122
23,36,419.2,4,4.7,5,2,2,2,5.4,2,Waterfall,1,0.7077533557816912
29,97,646.4,5,2.3,6,2,2,4,0.0,2,Hybrid,0,0.8175336457303636
16,279,1102.3,3,4.2,3,2,3,2,18.8,4,Waterfall,0,0.33793109113595143
29,72,416.7,1,5.6,4,5,3,19,23.6,4,Agile,1,0.2421826817551684
29,256,396.9,1,3.1,5,4,4,17,7.1,2,Waterfall,1,0.6850860402803456
21,365,430.7,2,2.0,2,5,2,2,7.1,4,Agile,0,0.4244613671865587
31,252,1049.3,3,1.2,3,5,1,10,10.8,5,Hybrid,1,0.4656203873990629
31,358,515.1,2,5.0,5,3,4,13,11.7,3,Hybrid,1,0.48410153199355865
10,357,1157.6,3,9.6,3,4,5,16,9.1,1,Waterfall,0,0.25635073383370227
3,314,575.8,1,4.0,9,3,4,7,13.1,5,Hybrid,1,0.5090884633509722
38,299,582.5,5,2.5,4,3,3,9,16.1,4,Hybrid,1,0.8495906263997309
21,101,856.6,4,4.7,7,5,3,8,15.8,3,Hybrid,0,0.5749357602273403
17,36,566.5,4,11.6,4,2,1,7,7.9,2,Agile,1,0.2378401095272358
24,325,628.5,2,8.1,6,2,2,8,0.0,1,Waterfall,0,0.3475068777607455
39,338,644.2,1,13.2,4,4,4,20,13.8,2,Waterfall,0,0.29964265634149806
36,96,658.8,2,5.3,7,5,5,19,15.5,2,Agile,0,0.41304280075975336
28,289,379.7,5,2.3,2,4,5,7,15.1,2,Agile,0,0.731362256804475
40,63,500.5,5,0.8,4,2,1,3,9.5,3,Agile,1,0.785616573736154
21,99,419.6,2,5.0,4,2,1,15,6.2,3,Waterfall,0,0.43074655105010123
20,226,673.3,3,4.3,4,5,2,8,15.8,1,Agile,0,0.40770675862763023
35,89,477.6,2,2.2,5,2,4,11,0.0,5,Waterfall,1,0.6605407947610479
27,355,374.6,4,5.7,6,2,2,8,10.5,4,Agile,1,0.5422336098165674
33,307,1018.1,4,8.0,4,4,5,16,7.3,2,Agile,1,0.3038025014866743
34,131,1609.9,2,2.1,3,1,3,4,3.2,4,Hybrid,1,0.5463003649764857
25,184,457.1,5,9.7,6,1,3,8,7.9,5,Agile,0,0.28608666048616266
22,337,367.3,1,1.2,6,2,2,13,18.5,3,Agile,1,0.6807323509033636
16,119,288.4,4,1.8,2,5,3,15,12.5,5,Waterfall,1,0.7229647365371928
38,212,667.0,2,4.2,2,4,1,13,11.7,4,Hybrid,1,0.3158364776009624
17,61,1080.1,3,1.8,2,1,2,12,14.7,2,Hybrid,1,0.5833345567896253
22,76,751.5,4,6.1,4,3,4,17,21.2,2,Agile,0,0.48268329409198174
23,150,262.0,2,1.3,6,5,1,16,22.5,4,Waterfall,1,0.5825797620146218
23,72,735.1,3,8.5,6,3,4,18,14.4,5,Agile,0,0.1732356950056602
15,285,549.8,1,5.6,2,4,5,5,13.2,2,Agile,0,0.1911866704077571
25,116,360.7,3,5.1,3,2,2,10,21.6,4,Agile,1,0.4021497765952478
31,308,684.8,1,7.1,6,1,3,14,0.0,5,Agile,0,0.31389659151158766
4,88,542.8,5,1.0,6,2,2,17,18.6,5,Agile,1,0.6255151111191165
21,41,806.7,3,5.7,2,2,2,7,21.8,4,Waterfall,0,0.3660322658178929
5,178,522.9,2,2.1,3,1,1,4,10.1,5,Waterfall,0,0.47586580504419146
24,120,887.0,4,7.3,3,1,5,13,5.7,2,Waterfall,0,0.6022205744154671
8,155,702.0,1,6.9,4,4,4,6,13.1,4,Hybrid,0,0.16823469922699985
39,346,498.4,4,7.3,5,3,3,20,17.1,1,Waterfall,1,0.7143508838900233
24,331,288.3,3,3.7,7,3,3,4,7.9,5,Agile,1,0.564278139704438
39,93,955.4,5,4.5,3,3,5,10,7.4,1,Hybrid,1,0.7545406455324366
21,235,1005.0,3,4.2,3,3,5,15,13.3,5,Agile,0,0.28767450212039897
31,331,603.2,4,3.0,8,2,5,4,16.1,5,Agile,1,0.7771326743676141
6,60,996.8,3,6.3,6,1,2,3,12.5,4,Waterfall,1,0.3842426775188452
32,150,255.8,1,3.4,8,2,5,19,9.7,4,Agile,1,0.6937892703994598
39,342,721.5,4,1.7,2,2,2,9,19.6,3,Agile,1,0.6232178811711635
37,137,602.9,5,5.4,5,2,4,6,9.9,3,Agile,0,0.6639244084872427
24,63,493.7,3,7.8,5,4,4,13,3.6,5,Agile,0,0.17983411275300976
23,361,745.1,3,4.1,0,2,1,5,8.6,1,Agile,0,0.39846879584508155
28,265,721.9,3,5.7,5,4,5,11,11.6,5,Waterfall,0,0.5099271135328421
7,43,551.3,4,1.3,4,5,1,14,13.2,1,Waterfall,0,0.7245581287600884
25,344,294.5,2,4.2,4,2,1,6,9.0,1,Waterfall,1,0.5932096983562422
5,310,1542.3,1,1.7,2,4,3,14,5.3,1,Waterfall,0,0.3851382521242119
21,297,295.6,1,0.9,3,1,5,17,0.0,2,Hybrid,1,0.776738479176543
10,306,1006.4,1,1.0,4,1,3,2,13.9,2,Waterfall,1,0.5593662758900497
6,259,495.2,1,3.1,10,1,4,13,7.3,1,Agile,1,0.6157177474420193
16,65,1118.0,4,0.5,3,5,2,5,0.0,1,Hybrid,0,0.6260956308952249
19,100,841.0,2,1.9,1,2,4,5,0.0,4,Agile,0,0.3981658646860032
13,165,660.9,1,7.4,1,4,2,12,14.7,1,Hybrid,0,0.1821331710035725
14,82,325.0,3,3.9,4,1,3,3,5.9,4,Agile,0,0.5533332569024303
34,352,532.8,5,4.4,1,3,1,11,16.1,2,Waterfall,1,0.7007398333371894
8,247,729.8,2,2.1,5,4,2,3,0.0,5,Waterfall,1,0.4910307270528964
21,319,356.5,3,0.8,2,4,5,7,0.0,5,Waterfall,0,0.5650159595089129
34,168,588.8,4,3.1,2,5,5,19,12.1,3,Waterfall,1,0.7091944466940814
21,40,1154.1,1,1.3,6,1,3,17,9.4,3,Hybrid,1,0.6166073177372022
4,145,380.4,5,9.5,2,4,3,6,4.3,5,Waterfall,0,0.29155368459420666
6,259,812.7,5,3.3,6,4,4,4,15.5,4,Agile,1,0.5338534930094985
9,84,591.8,3,4.3,5,4,1,3,2.4,2,Agile,1,0.38732978592038736
9,342,448.3,4,4.4,5,2,2,17,36.0,3,Hybrid,1,0.6367173037093217
11,252,453.0,2,5.2,4,3,5,10,22.0,4,Agile,1,0.27923176174103764
40,183,497.8,1,13.0,3,1,1,9,13.1,2,Waterfall,0,0.27625235896012995
38,186,872.1,4,4.9,6,3,4,15,1.5,5,Agile,1,0.5845886683175168
14,182,792.7,1,7.9,0,5,3,17,12.6,1,Waterfall,0,0.2789918217721266
6,250,440.3,4,5.6,4,3,4,12,0.0,2,Waterfall,1,0.4454392392755715
16,162,197.8,5,1.9,3,2,5,16,15.4,3,Agile,1,0.8116342615152964
11,344,417.0,2,13.8,3,3,1,11,0.0,4,Waterfall,0,0.18618492590500885
40,272,632.6,3,5.7,6,2,1,11,22.8,3,Agile,1,0.5309081751416196
9,249,1158.2,5,8.0,3,4,2,7,12.3,1,Waterfall,1,0.3387433722907769
3,297,664.2,1,0.5,4,4,3,2,7.9,5,Waterfall,0,0.5570366577756293
29,127,1067.3,3,2.2,5,4,3,3,15.4,4,Agile,1,0.49967905940208973
34,231,1163.1,1,2.1,6,4,3,4,13.0,1,Waterfall,1,0.6561661281868872
33,100,652.5,1,1.5,1,2,4,15,10.9,3,Waterfall,0,0.7029306316696406
38,216,1839.3,1,3.0,6,5,4,5,14.8,4,Waterfall,0,0.48931084258768065
20,176,344.9,3,1.6,4,4,2,20,0.0,2,Agile,1,0.6117847052603754
40,232,1066.2,2,1.8,3,2,1,14,23.3,5,Waterfall,1,0.5517940112278285
15,182,290.2,3,1.5,2,5,4,8,12.5,2,Agile,1,0.6087331693645938
25,85,591.2,4,3.1,3,1,1,8,16.2,3,Agile,1,0.6233974188732848
18,74,1137.8,3,13.3,6,1,2,18,6.9,5,Agile,0,0.17921224571876987
10,74,1094.3,4,2.9,3,5,1,13,13.1,2,Hybrid,1,0.5402154361791723
8,358,529.3,2,4.3,9,1,3,20,11.9,3,Waterfall,1,0.6420049700450866
10,151,1049.0,5,2.1,7,5,5,11,0.0,1,Agile,1,0.659009988106278
4,94,653.5,4,4.2,6,5,3,20,2.7,2,Waterfall,1,0.5508693177103777
27,42,523.9,1,4.7,1,4,3,16,13.5,5,Agile,0,0.20477892752616322
13,153,634.8,4,2.9,6,3,3,17,16.7,4,Hybrid,1,0.7335611517818533
7,84,678.3,2,5.7,5,5,1,19,2.7,3,Agile,0,0.11292950199399854
19,362,469.3,1,2.2,6,4,1,14,1.4,1,Agile,1,0.5482132430705065
15,223,760.1,2,3.4,5,4,4,9,24.0,2,Hybrid,0,0.5794365391964553
35,120,581.5,2,4.1,2,2,4,3,16.0,1,Agile,0,0.5618507524005785
6,306,643.0,2,3.1,4,4,4,17,14.8,2,Agile,0,0.42583631411607
25,187,482.6,4,1.1,8,3,3,20,9.4,2,Hybrid,1,0.8890686438879906
35,111,632.1,4,5.3,7,5,3,6,7.4,4,Hybrid,1,0.6551428380635409
4,84,607.2,4,5.2,2,2,5,13,3.3,1,Waterfall,1,0.5377713964165232
19,138,307.1,4,3.7,1,5,5,11,28.0,3,Waterfall,1,0.7104810748881204
