durasi_rencana_hari,panjang_deskripsi_kata,jumlah_tag,prioritas_tinggi,adalah_bug,sedang_blocked,jumlah_komentar,beban_kerja_assignee,bulan_dibuat,tim,peran_assignee,status_proyek,terlambat,prediksi_probabilitas
3.0,23,1,0,0,0,0,0,3,Team 7,Designer,active,1,0.1696527378880866
3.0,0,1,0,0,0,0,0,7,Team 16,Spesialis Lainnya,active,0,0.16241967127592757
52.0,22,1,0,1,0,0,0,11,Team 12,Product Manager,active,0,0.04794730417866198
4.0,31,2,0,0,1,1,0,10,Team 4,Engineer,active,0,0.1793387232466404
10.0,0,0,0,0,0,2,1,12,Team 10,Designer,active,0,0.04578572315582318
22.0,22,1,0,1,0,0,0,1,Team 11,Spesialis Lainnya,active,0,0.04618295597510824
20.0,9,2,1,0,0,2,0,2,Team 8,Spesialis Lainnya,active,0,0.054844663094179416
2.0,6,0,0,0,0,0,0,7,Team 8,Engineer,active,0,0.5143833932048971
24.0,3,1,0,0,0,2,0,12,Team 15,Engineer,completed,0,0.05175085632014115
36.0,14,2,0,0,0,0,0,7,Team 13,Spesialis Lainnya,active,0,0.05119681594025082
69.0,4,0,0,0,0,0,2,7,Team 5,Engineer,completed,0,0.05840167725143589
35.0,33,1,0,0,0,2,3,7,Team 15,Designer,active,0,0.050997793498121086
11.0,27,1,0,0,0,1,0,5,Team 19,Ops,active,0,0.06091900098276275
5.0,6,1,0,0,0,0,1,6,Team 8,Marketer,active,0,0.13281852644968603
30.0,6,1,0,0,0,4,0,2,Team 6,Designer,completed,0,0.050302101448592776
29.0,23,2,0,0,0,0,1,1,Team 7,Ops,completed,0,0.05158774525595276
18.0,23,1,0,0,0,3,2,9,Team 13,Marketer,completed,0,0.07081541091610467
53.0,25,2,0,1,0,1,2,12,Team 4,Marketer,completed,0,0.057115222430618375
66.0,0,2,0,0,0,4,2,11,Team 6,Ops,active,0,0.05833339094695944
36.0,5,1,0,0,0,0,1,4,Team 18,Engineer,completed,0,0.0536571593893827
15.0,17,1,0,0,0,4,0,1,Team 16,Product Manager,active,0,0.0564871133779813
3.0,23,3,0,0,0,3,1,11,Team 2,Marketer,completed,1,0.21909166863695048
79.0,25,0,0,0,0,3,0,7,Team 1,Designer,active,0,0.05501654042773678
16.0,22,0,0,0,0,2,0,4,Team 17,Marketer,completed,0,0.05256570445237166
44.0,0,1,0,1,0,0,0,1,Team 17,Ops,active,0,0.05056044737323228
9.0,9,2,1,0,0,0,2,11,Team 7,Ops,active,0,0.06150690820312051
71.0,0,3,0,0,0,1,0,4,Team 1,Spesialis Lainnya,active,0,0.05106473286940062
22.0,4,0,0,0,0,0,0,9,Team 5,Product Manager,active,0,0.04863386816727262
4.0,27,1,0,0,0,4,0,4,Team 10,Product Manager,completed,0,0.16068488241813492
1.0,0,0,0,0,0,0,0,3,Team 7,Engineer,completed,1,0.6324794170940825
1.0,32,2,1,0,0,0,0,1,Team 1,Spesialis Lainnya,on_hold,0,0.5730784579009957
58.0,6,2,0,1,0,0,1,7,Team 1,Designer,active,0,0.05414723299855396
11.0,0,2,0,0,0,3,1,10,Team 4,Product Manager,active,0,0.052252445933713434
6.0,0,1,0,0,0,0,0,7,Team 17,Marketer,active,0,0.0638828886200681
2.0,0,0,0,0,0,0,1,5,Team 0,Marketer,on_hold,1,0.523215839610199
10.0,5,2,1,0,0,2,0,5,Team 17,Designer,on_hold,0,0.048482529225326
10.0,11,2,0,0,0,0,0,10,Team 7,Engineer,on_hold,0,0.05442542912390459
4.0,12,2,0,1,0,0,0,10,Team 6,Engineer,completed,0,0.1736924383094525
65.0,22,0,0,0,0,1,3,10,Team 15,Product Manager,active,0,0.051773198142526344
16.0,5,2,0,0,0,0,2,1,Team 16,Ops,completed,0,0.054812508544436804
11.0,21,2,0,0,0,3,4,3,Team 7,Marketer,completed,0,0.0618327993132852
10.0,6,2,0,0,1,2,1,10,Team 4,Product Manager,completed,0,0.05392933324748949
55.0,6,0,0,0,0,0,1,2,Team 11,Designer,active,0,0.05280437327043744
51.0,20,1,0,0,1,0,0,11,Team 0,Marketer,completed,0,0.055718451135044686
5.0,3,1,1,0,0,0,0,8,Team 18,Marketer,completed,0,0.12656234058967056
8.0,24,2,0,0,0,0,0,7,Team 14,Designer,active,0,0.05942900264234102
1.0,0,1,0,0,0,0,0,9,Team 7,Spesialis Lainnya,on_hold,1,0.6234192964300747
89.0,9,0,0,0,0,0,0,10,Team 1,Spesialis Lainnya,active,0,0.05330917984690918
76.0,0,0,0,0,0,4,1,8,Team 1,Product Manager,active,0,0.05204263804675359
10.0,5,1,0,0,0,4,1,1,Team 3,Product Manager,on_hold,0,0.05237074361711947
10.0,6,3,0,0,0,4,0,4,Team 19,Engineer,on_hold,0,0.055894522439805444
64.0,24,1,0,0,0,0,0,9,Team 6,Spesialis Lainnya,completed,0,0.05010115494817656
24.0,25,0,0,0,0,2,1,12,Team 6,Engineer,active,0,0.05780518957456844
5.0,7,0,0,0,0,4,3,1,Team 6,Designer,completed,1,0.1196875732656495
16.0,0,1,0,0,0,0,1,5,Team 6,Ops,completed,0,0.0476557035390715
6.0,12,0,0,0,0,2,1,6,Team 9,Product Manager,completed,0,0.07402570176796335
31.0,17,1,0,0,0,0,0,6,Team 8,Spesialis Lainnya,on_hold,0,0.051842147608028896
3.0,26,2,0,1,0,1,0,5,Team 18,Marketer,completed,0,0.22400568132409177
1.0,0,3,0,0,0,0,1,11,Team 11,Marketer,active,1,0.6504841061223529
82.0,0,1,0,0,0,0,0,5,Team 3,Spesialis Lainnya,active,0,0.051321384340099474
1.0,8,4,0,1,0,2,0,12,Team 8,Product Manager,active,1,0.6264559139511212
32.0,0,2,0,0,0,3,1,7,Team 0,Ops,active,0,0.0546080801323069
17.0,13,2,0,0,0,1,1,11,Team 0,Engineer,active,0,0.055953967123578155
70.0,3,1,0,0,0,0,2,10,Team 9,Ops,active,0,0.05571707532405923
29.0,7,2,1,0,0,2,1,7,Team 10,Ops,active,0,0.05332740491511455
5.0,10,0,0,0,0,0,2,1,Team 6,Ops,active,0,0.11084451158499337
59.0,10,1,0,0,0,0,0,2,Team 4,Ops,completed,0,0.05496047099927176
25.0,5,2,1,0,0,0,1,12,Team 14,Ops,on_hold,0,0.052858194842409736
50.0,14,0,0,0,0,0,2,10,Team 2,Ops,active,0,0.061617221526110516
27.0,10,0,0,0,0,4,0,4,Team 11,Spesialis Lainnya,active,0,0.05147443098406583
53.0,0,0,0,0,0,1,1,4,Team 15,Engineer,active,0,0.04959485900085233
13.0,26,1,1,0,0,0,2,10,Team 7,Marketer,active,0,0.0477673270795518
7.0,13,3,0,0,0,3,2,10,Team 13,Engineer,active,0,0.06662794427829041
61.0,11,1,0,0,0,4,0,4,Team 14,Designer,completed,0,0.060899385662497314
85.0,29,1,0,0,0,1,0,11,Team 1,Engineer,active,0,0.05729445009013747
26.0,11,0,0,0,0,3,0,12,Team 16,Spesialis Lainnya,completed,0,0.063598563520726
29.0,0,0,0,0,0,2,2,5,Team 19,Engineer,completed,0,0.055655412391550384
72.0,4,0,0,0,0,0,0,6,Team 13,Product Manager,active,0,0.05251009301154473
-0.1260879629629629,14,1,0,0,0,2,1,10,Team 2,Designer,active,1,0.6933714423282468
18.0,27,4,0,0,1,1,2,6,Team 16,Designer,active,0,0.05361636611355048
14.0,7,1,1,0,0,1,0,4,Team 6,Marketer,active,0,0.04732794295822324
2.0,0,2,0,0,0,2,0,9,Team 4,Designer,active,1,0.5581422480013076
5.0,0,3,0,0,0,0,0,8,Team 15,Designer,active,0,0.1148933208441822
4.0,22,0,0,0,0,2,0,10,Team 11,Engineer,completed,0,0.16240379519861836
-20.002002314814813,23,1,0,0,0,3,1,12,Team 0,Marketer,active,1,0.6739578087232194
13.0,24,4,0,0,0,0,0,9,Team 7,Designer,active,0,0.05196972494377102
30.0,0,3,0,0,0,2,0,10,Team 13,Ops,completed,0,0.05463054911171236
5.0,12,0,0,0,0,0,1,9,Team 10,Marketer,active,0,0.1180936808838185
24.0,0,0,0,0,0,2,4,12,Team 5,Product Manager,active,0,0.04586027313299261
46.0,0,0,0,0,0,3,4,10,Team 9,Marketer,active,0,0.053039440467738085
43.0,7,1,0,1,0,0,2,9,Team 18,Product Manager,active,0,0.05110457511034421
26.0,7,0,0,0,0,1,0,10,Team 13,Designer,completed,0,0.05766244396540953
17.0,26,2,0,0,0,0,0,8,Team 0,Ops,active,0,0.06010123739782968
-4.406053240740741,6,2,0,1,0,3,1,9,Team 16,Designer,active,1,0.7040330116225536
-2.3980092592592595,5,3,0,1,0,4,0,3,Team 0,Spesialis Lainnya,active,1,0.6407329483323264
12.0,22,0,0,0,0,0,1,4,Team 7,Designer,active,0,0.05943131306168207
21.0,10,0,0,0,0,1,1,6,Team 3,Marketer,completed,0,0.060456573986473125
7.0,26,2,0,1,0,4,0,5,Team 12,Engineer,on_hold,0,0.06954103625760907
53.0,0,0,0,0,0,1,0,7,Team 8,Product Manager,active,0,0.052833077123471364
3.0,0,4,0,0,0,0,0,10,Team 11,Designer,completed,0,0.16730330108019104
4.0,7,1,0,0,0,0,0,5,Team 11,Designer,completed,0,0.14496231557981726
8.0,15,1,0,0,0,0,2,4,Team 4,Designer,active,0,0.06842839889348386
74.0,9,1,0,0,0,2,1,1,Team 3,Engineer,active,0,0.06206075834446561
22.0,25,1,0,0,0,1,0,2,Team 4,Engineer,completed,0,0.05583138178339104
19.0,13,1,0,0,0,0,2,4,Team 18,Marketer,active,0,0.06229749536963542
33.0,8,2,0,1,0,0,0,12,Team 1,Designer,active,0,0.052924477404996555
16.0,30,2,0,0,0,0,0,3,Team 13,Marketer,active,0,0.059394766265335984
-1.7853125,24,1,0,0,0,1,1,2,Team 8,Ops,completed,1,0.6644231809416846
16.0,28,2,0,0,0,3,1,12,Team 16,Product Manager,active,0,0.06526748666222919
89.0,7,4,0,0,0,1,2,9,Team 1,Marketer,active,0,0.05943388222574497
1.0,0,2,1,0,0,1,2,12,Team 2,Marketer,active,1,0.6395984315446828
30.0,26,3,0,0,0,2,0,5,Team 5,Spesialis Lainnya,active,0,0.04951751182377031
80.0,31,1,0,0,0,0,1,1,Team 7,Engineer,active,0,0.06035454761621918
56.0,12,3,0,0,0,3,0,6,Team 7,Spesialis Lainnya,active,0,0.05290363469532253
9.0,8,3,0,0,0,2,3,3,Team 10,Marketer,active,0,0.049313889403020526
30.0,27,1,0,0,0,0,0,6,Team 11,Marketer,completed,0,0.05587118028416748
34.0,31,2,0,0,0,0,3,11,Team 8,Product Manager,completed,0,0.06115099536506566
66.0,25,0,0,0,0,3,1,10,Team 5,Engineer,completed,0,0.06207427006299968
1.0,0,1,0,0,0,0,3,5,Team 13,Ops,active,0,0.6381795112920337
18.0,19,0,0,0,0,2,2,9,Team 13,Ops,active,0,0.06100497950166686
9.0,6,3,0,0,0,2,1,9,Team 10,Ops,active,0,0.05184758854252863
28.0,29,0,0,0,0,2,0,11,Team 14,Spesialis Lainnya,completed,0,0.05831392546230794
5.0,6,1,0,0,0,4,1,6,Team 19,Designer,completed,0,0.15912012344792395
7.0,3,0,0,0,0,0,0,10,Team 9,Spesialis Lainnya,completed,0,0.05720271017290066
46.0,10,0,0,0,0,2,0,6,Team 10,Engineer,completed,0,0.05862829630641632
6.0,26,3,0,0,0,1,1,3,Team 15,Ops,on_hold,0,0.06913791119442933
52.0,7,0,0,0,0,4,0,11,Team 19,Spesialis Lainnya,completed,0,0.06454550038528904
9.0,0,0,0,0,0,4,0,7,Team 6,Ops,active,0,0.05261674249540979
50.0,0,2,0,0,0,4,1,6,Team 6,Ops,active,0,0.05503535663629775
16.0,6,1,0,0,0,3,0,12,Team 9,Engineer,completed,0,0.04925759177092943
38.0,7,1,0,0,0,0,5,11,Team 5,Designer,active,0,0.07322370218882437
28.0,26,0,0,0,0,4,0,8,Team 11,Engineer,active,0,0.05174922230638469
54.0,25,0,0,0,0,4,0,4,Team 15,Spesialis Lainnya,active,0,0.05659299546953819
20.0,11,2,0,0,0,3,2,4,Team 0,Engineer,active,0,0.05626429064662358
1.0,29,4,0,1,0,3,0,6,Team 5,Designer,active,1,0.6192880663574085
7.0,10,1,0,1,0,4,3,11,Team 17,Product Manager,completed,0,0.059355168142469786
11.0,0,2,1,0,0,4,0,5,Team 6,Spesialis Lainnya,on_hold,0,0.05431575326368245
51.0,22,3,0,0,0,0,0,6,Team 17,Designer,active,0,0.05247019631105819
68.0,0,3,0,0,0,0,0,4,Team 2,Marketer,active,0,0.057795582670282224
6.0,27,2,0,0,0,2,1,9,Team 3,Product Manager,active,0,0.0776989404719905
25.0,6,4,0,0,0,3,0,7,Team 11,Spesialis Lainnya,completed,0,0.04908883963336293
56.0,4,1,0,0,0,4,2,6,Team 13,Product Manager,active,0,0.05466510438466832
19.0,0,0,0,0,0,3,0,11,Team 0,Product Manager,active,0,0.051239050822943576
10.0,4,0,0,0,0,4,1,12,Team 16,Engineer,active,0,0.05052175671350523
5.0,12,0,0,0,0,0,0,4,Team 18,Spesialis Lainnya,completed,0,0.1183241685088164
6.0,22,0,0,0,0,0,0,10,Team 9,Marketer,completed,0,0.07873633049834507
7.0,0,2,0,0,0,2,1,8,Team 7,Product Manager,active,0,0.06401311395882903
6.0,23,1,0,0,0,0,1,11,Team 3,Engineer,active,0,0.07394052798132443
9.0,30,3,0,0,1,0,1,5,Team 12,Engineer,on_hold,0,0.05949449063205133
34.0,7,1,0,0,0,1,0,5,Team 0,Designer,completed,0,0.05140767436087906
21.0,15,2,0,0,0,3,0,8,Team 7,Spesialis Lainnya,completed,0,0.06569423823949742
56.0,0,1,0,0,0,3,1,8,Team 3,Marketer,completed,0,0.053484903752037405
29.0,17,0,0,0,0,2,0,9,Team 18,Marketer,active,0,0.0559087742629592
31.0,27,0,0,0,0,0,0,10,Team 5,Product Manager,active,0,0.0525771547099926
47.0,13,2,0,0,0,2,0,11,Team 3,Designer,active,0,0.05320390608924398
30.0,24,4,0,1,0,4,2,12,Team 3,Marketer,completed,0,0.059623637116393687
72.0,25,1,0,0,0,1,0,2,Team 7,Spesialis Lainnya,completed,0,0.049121775174585804
64.0,11,0,0,0,0,0,1,11,Team 12,Marketer,active,0,0.05622136567134939
7.0,0,1,0,0,0,1,1,7,Team 16,Designer,active,1,0.05780916871160924
70.0,0,4,1,0,0,3,3,4,Team 13,Ops,completed,0,0.05292539822451292
47.0,0,4,0,0,0,1,1,12,Team 12,Ops,completed,0,0.05649733246549219
23.0,0,2,1,0,0,1,0,6,Team 19,Ops,completed,0,0.0667959534365756
19.0,0,1,0,0,0,1,1,5,Team 13,Designer,completed,0,0.051686351911362116
61.0,11,1,0,0,0,0,0,2,Team 15,Ops,completed,0,0.0534942302767649
26.0,25,1,1,0,0,0,0,2,Team 11,Marketer,active,0,0.05368470827310615
54.0,7,2,0,0,0,0,0,3,Team 9,Designer,completed,0,0.0509760585461015
35.0,0,3,1,0,0,3,2,9,Team 14,Marketer,active,0,0.05413113722232506
-14.363391203703705,31,2,0,0,0,3,1,9,Team 19,Product Manager,completed,1,0.6534664347698396
72.0,32,0,0,0,0,1,2,9,Team 11,Engineer,active,0,0.05481778366626134
10.0,8,1,0,0,1,2,1,8,Team 10,Designer,active,0,0.053544550075517235
19.0,0,0,0,0,0,1,0,7,Team 15,Engineer,active,0,0.048630319861499495
-6.970810185185186,6,0,0,0,0,0,1,11,Team 4,Product Manager,on_hold,1,0.6699579335466413
29.0,26,1,0,0,0,4,3,7,Team 8,Ops,active,0,0.06326267060695692
77.0,27,1,0,0,0,4,0,5,Team 7,Engineer,active,0,0.06029154513360228
25.0,6,0,0,0,0,3,0,1,Team 14,Engineer,active,0,0.04893456939359787
81.0,28,4,1,0,1,0,1,10,Team 14,Ops,active,0,0.051166422674776856
43.0,6,1,0,0,0,3,0,3,Team 10,Spesialis Lainnya,completed,0,0.05066396986604667
8.0,0,2,0,0,0,1,0,7,Team 11,Product Manager,active,0,0.04982909823004644
8.0,29,1,0,0,0,0,1,10,Team 1,Ops,completed,0,0.06104190427663017
78.0,27,2,0,0,0,3,1,9,Team 3,Engineer,completed,0,0.06055422864381562
9.0,16,2,0,0,0,0,0,6,Team 11,Designer,active,0,0.055321186602082184
11.0,4,0,0,0,0,4,0,5,Team 7,Ops,active,0,0.06308962074927958
26.0,29,1,0,0,0,4,4,12,Team 19,Engineer,active,0,0.06019835392217162
31.0,5,2,0,0,0,4,2,9,Team 5,Ops,active,0,0.05809636231816165
9.0,0,3,0,0,0,4,0,3,Team 11,Marketer,active,0,0.051911304498835784
64.0,0,1,0,0,0,1,0,5,Team 7,Ops,completed,0,0.05680942304653742
27.0,0,4,0,0,1,4,0,11,Team 6,Ops,completed,0,0.06207855037440304
3.0,0,0,0,0,0,1,0,3,Team 6,Engineer,active,0,0.13805560508620085
3.0,7,2,0,0,0,0,0,8,Team 16,Ops,active,1,0.20104353957992446
75.0,27,1,0,0,0,3,1,7,Team 3,Product Manager,active,0,0.050313155998087965
37.0,24,0,0,0,0,0,0,3,Team 7,Spesialis Lainnya,active,0,0.05266829305227463
8.0,0,1,0,0,0,3,1,3,Team 2,Engineer,active,0,0.0527726038854965
33.0,27,0,0,0,0,1,1,1,Team 18,Designer,active,0,0.05951891876151858
20.0,13,0,0,0,0,4,1,1,Team 12,Product Manager,on_hold,0,0.04912074798604909
8.0,28,0,0,0,0,3,2,12,Team 10,Designer,on_hold,0,0.06379246932773684
10.0,6,0,0,0,0,2,3,12,Team 1,Product Manager,active,0,0.047934621985332854
30.0,0,2,1,0,0,3,0,3,Team 9,Product Manager,active,0,0.04863778056868633
22.0,28,2,1,0,0,3,0,9,Team 19,Spesialis Lainnya,on_hold,0,0.066197976911246
79.0,13,3,0,0,0,0,0,4,Team 18,Engineer,active,0,0.05615274938960585
5.0,23,3,0,1,0,2,0,12,Team 5,Designer,active,0,0.11581565279938376
8.0,22,3,0,0,0,2,1,11,Team 6,Marketer,on_hold,0,0.0543912025393659
15.0,11,0,0,0,0,0,1,6,Team 4,Product Manager,active,0,0.05715679460249599
83.0,3,2,0,1,0,4,2,3,Team 2,Engineer,active,0,0.05441071303905227
5.0,0,1,0,0,0,0,0,6,Team 18,Product Manager,active,0,0.12559186237315786
87.0,17,1,0,0,0,2,2,10,Team 19,Designer,on_hold,0,0.05282210305790094
11.0,7,1,0,0,0,3,0,10,Team 16,Marketer,completed,0,0.059713579190396944
8.0,5,0,0,0,0,4,1,11,Team 5,Engineer,active,0,0.052005613644193475
18.0,27,1,0,0,0,2,0,9,Team 3,Ops,active,0,0.05712311842905554
24.0,0,1,0,0,0,0,1,9,Team 13,Ops,active,0,0.055098346526912395
35.0,30,1,0,0,0,4,0,4,Team 15,Product Manager,active,0,0.05064194123390231
29.0,27,0,0,0,0,4,0,3,Team 11,Engineer,completed,0,0.0572877091404927
32.0,0,2,0,0,1,2,1,9,Team 15,Marketer,active,0,0.058053545374533555
29.0,26,1,0,1,0,1,2,4,Team 0,Designer,active,0,0.05789874367694153
11.0,0,1,0,0,0,3,0,7,Team 2,Ops,completed,0,0.058078852917509076
59.0,26,3,0,0,0,1,0,11,Team 1,Engineer,active,0,0.0529859028296108
73.0,7,1,0,0,0,4,1,9,Team 7,Marketer,active,0,0.05472666568948354
20.0,0,0,0,0,0,2,1,3,Team 10,Designer,active,0,0.04887515606821241
12.0,4,2,0,0,0,0,0,12,Team 16,Product Manager,completed,1,0.06494532056850161
70.0,0,1,0,0,0,0,0,12,Team 11,Spesialis Lainnya,active,0,0.049762618675827576
5.0,23,0,0,0,0,4,0,8,Team 18,Engineer,completed,0,0.14743837994427747
28.0,13,2,0,0,0,1,0,2,Team 9,Marketer,active,0,0.058917863312132904
60.0,12,0,0,0,0,0,1,8,Team 0,Engineer,active,0,0.057590693896602416
84.0,23,0,0,0,0,0,0,6,Team 10,Product Manager,on_hold,0,0.05954791134186083
19.0,7,1,0,0,0,0,2,4,Team 7,Product Manager,completed,0,0.05614504532685983
65.0,23,0,0,0,0,0,2,10,Team 1,Product Manager,active,0,0.050765984721516715
72.0,28,1,0,0,0,0,0,1,Team 14,Designer,active,0,0.057003186395747675
-16.19241898148148,4,0,0,0,0,4,1,11,Team 2,Marketer,on_hold,1,0.6921938934446902
74.0,28,1,0,0,0,3,1,9,Team 11,Product Manager,completed,0,0.06076513962083974
1.0,26,1,0,0,0,4,1,6,Team 0,Engineer,completed,1,0.6203024994333135
4.0,0,1,0,0,0,0,0,4,Team 6,Marketer,active,0,0.12236246903892109
72.0,0,3,0,1,0,1,1,1,Team 2,Marketer,on_hold,0,0.05284280828155953
6.0,12,1,0,0,1,0,0,11,Team 17,Engineer,on_hold,0,0.06541851728885145
13.0,28,1,0,0,0,0,0,12,Team 8,Marketer,active,0,0.059964639393736835
58.0,14,0,0,0,0,0,0,7,Team 5,Spesialis Lainnya,completed,0,0.05987043678097835
8.0,26,3,0,0,0,0,1,7,Team 14,Marketer,active,0,0.06339598397466291
1.0,15,0,0,0,0,3,0,5,Team 10,Engineer,active,1,0.6052155788115774
64.0,27,1,0,0,0,0,5,10,Team 7,Designer,active,0,0.07696243571801564
43.0,26,0,0,0,0,3,0,9,Team 3,Spesialis Lainnya,active,0,0.054510880767656124
28.0,4,4,0,0,0,4,0,7,Team 15,Product Manager,active,0,0.049569558452304464
16.0,0,0,0,0,0,0,0,10,Team 2,Designer,active,0,0.058268078979319696
23.0,0,4,1,0,0,0,0,2,Team 13,Designer,active,0,0.053920316592214246
25.0,0,1,0,0,0,4,0,8,Team 13,Ops,active,0,0.05861186125970383
55.0,21,1,0,0,1,0,0,5,Team 19,Designer,active,0,0.06192019625287706
7.0,6,0,0,0,0,0,0,5,Team 13,Product Manager,active,0,0.06091950885549088
