ukuran_tim,durasi_rencana_hari,anggaran_juta,kompleksitas,pengalaman_tim_tahun,perubahan_requirement,keterlibatan_klien,risiko_teknologi,jumlah_stakeholder,turnover_tim_persen,ketersediaan_sumber_daya,metodologi,probabilitas_risiko_sintetis,estimasi_keterlambatan_hari,terlambat
29,59,1092.1,5,1.5,6,4,4,20,12.9,5,Hybrid,0.777,37,1
16,221,230.7,1,0.8,3,1,1,7,9.7,1,Waterfall,0.828,23,1
5,107,774.0,2,6.2,2,2,2,16,9.4,3,Agile,0.056,0,0
39,228,261.5,5,6.7,2,4,2,2,8.4,1,Hybrid,0.491,20,1
19,260,449.3,5,2.2,4,4,5,9,5.8,4,Waterfall,0.879,41,1
36,315,291.9,1,2.1,5,4,3,18,21.5,4,Hybrid,0.689,0,0
28,195,416.1,5,4.0,2,2,2,3,2.4,5,Hybrid,0.443,0,0
32,31,866.7,3,2.6,4,5,5,19,19.9,1,Agile,0.528,0,0
31,124,494.9,3,0.8,5,1,1,3,17.2,4,Hybrid,0.781,31,1
10,316,397.2,1,1.5,3,5,5,11,9.0,4,Agile,0.483,0,0
16,209,371.7,4,4.6,3,5,5,5,16.3,4,Agile,0.35,0,0
20,238,328.9,4,1.6,6,4,2,2,10.7,4,Agile,0.33,0,0
21,183,837.3,4,7.0,4,3,1,8,3.2,3,Agile,0.181,0,0
4,84,607.2,4,5.2,2,2,5,13,3.3,1,Waterfall,0.801,15,1
23,331,704.0,5,4.7,1,3,5,15,17.2,5,Waterfall,0.473,26,1
8,289,279.2,5,4.0,2,1,2,8,16.8,2,Agile,0.728,21,1
31,364,608.5,4,1.9,2,2,1,11,13.9,1,Hybrid,0.803,55,1
28,317,177.7,5,5.7,2,4,2,5,8.9,4,Hybrid,0.598,1,1
38,127,1017.3,4,1.9,3,3,1,15,10.5,5,Hybrid,0.437,18,1
31,115,773.7,4,7.3,1,3,4,5,9.4,4,Waterfall,0.198,0,0
16,113,566.4,3,9.9,1,3,3,18,0.0,2,Agile,0.019,0,0
39,338,164.1,4,4.1,4,1,2,5,12.5,5,Agile,0.393,0,0
18,217,362.8,1,9.0,1,5,4,14,16.2,5,Waterfall,0.083,0,0
15,182,290.2,3,1.5,2,5,4,8,12.5,2,Agile,0.78,26,1
37,355,551.6,3,5.2,8,2,1,20,26.2,3,Agile,0.687,21,1
17,232,715.9,5,3.6,3,2,3,7,4.0,5,Hybrid,0.669,0,0
5,335,697.4,1,6.3,4,4,5,20,6.7,1,Waterfall,0.551,11,1
20,360,1189.0,4,0.5,2,1,4,17,13.1,2,Hybrid,0.955,37,1
33,56,584.4,1,6.0,5,1,5,10,14.0,3,Hybrid,0.852,17,1
10,151,1049.0,5,2.1,7,5,5,11,0.0,1,Agile,0.991,37,1
20,276,515.1,5,3.7,2,1,1,8,16.8,1,Waterfall,0.907,43,1
7,303,759.2,2,12.9,3,3,2,10,14.0,4,Waterfall,0.002,0,0
29,79,539.8,5,5.4,6,5,3,10,0.0,2,Hybrid,0.466,0,0
21,136,687.0,3,4.9,1,4,3,4,11.1,2,Waterfall,0.035,0,0
15,214,587.9,5,4.6,8,2,4,8,5.5,2,Waterfall,0.991,39,1
11,298,427.3,4,7.8,4,1,4,18,8.4,1,Hybrid,0.739,0,0
24,67,1933.5,1,6.4,7,4,4,20,1.3,4,Agile,0.177,0,0
28,231,698.4,2,4.6,5,3,1,3,15.3,2,Agile,0.435,8,1
38,129,783.1,3,4.2,3,5,4,15,26.1,4,Waterfall,0.335,18,1
19,102,849.1,2,4.0,3,4,4,6,14.1,5,Agile,0.027,0,0
9,203,657.1,1,3.4,13,1,4,14,0.0,3,Hybrid,0.983,33,1
34,169,164.1,5,1.2,7,2,3,13,14.3,5,Waterfall,0.992,59,1
26,243,714.9,5,5.3,3,4,1,18,10.4,1,Waterfall,0.568,1,1
29,136,318.8,3,2.3,2,4,1,15,3.2,5,Waterfall,0.24,0,0
6,306,643.0,2,3.1,4,4,4,17,14.8,2,Agile,0.39,0,0
14,56,685.4,1,6.7,2,2,5,17,19.0,2,Waterfall,0.621,0,0
32,319,232.8,5,3.5,7,2,5,14,6.7,5,Hybrid,0.991,61,1
34,40,602.4,2,3.3,3,2,3,9,0.0,3,Waterfall,0.64,17,1
19,277,276.4,1,4.1,4,4,3,8,0.0,4,Waterfall,0.712,5,1
33,146,157.2,2,2.8,3,1,1,8,6.7,5,Hybrid,0.847,21,1
34,158,273.1,3,12.8,2,5,3,8,10.8,3,Hybrid,0.022,0,0
17,36,566.5,4,11.6,4,2,1,7,7.9,2,Agile,0.269,1,1
37,265,550.3,2,11.4,1,3,4,7,6.5,3,Hybrid,0.021,0,0
13,85,466.9,5,4.6,4,2,4,12,16.5,2,Waterfall,0.979,41,1
12,251,768.9,4,2.2,3,3,1,7,15.7,3,Agile,0.299,0,0
28,273,534.8,5,6.9,2,4,5,8,13.6,2,Waterfall,0.88,29,1
27,314,719.3,2,2.8,2,1,4,15,18.5,5,Agile,0.473,0,0
8,267,845.4,4,7.3,5,3,2,8,6.7,3,Agile,0.14,0,0
34,131,1609.9,2,2.1,3,1,3,4,3.2,4,Hybrid,0.898,9,1
10,278,571.0,4,4.9,5,1,1,2,7.8,4,Waterfall,0.784,44,1
33,307,1018.1,4,8.0,4,4,5,16,7.3,2,Agile,0.435,1,1
3,136,666.9,2,3.0,4,3,1,20,0.0,2,Hybrid,0.136,0,0
33,71,685.0,5,3.0,6,4,5,14,7.6,5,Agile,0.865,32,1
32,329,574.7,5,0.9,6,2,4,3,20.8,1,Waterfall,0.991,89,1
32,79,639.7,5,2.1,5,2,5,12,18.4,2,Agile,0.99,54,1
28,229,537.2,2,4.5,1,3,2,7,16.2,4,Waterfall,0.424,0,0
20,109,935.6,4,5.1,3,1,5,8,13.1,3,Agile,0.478,19,1
29,72,416.7,1,5.6,4,5,3,19,23.6,4,Agile,0.375,1,1
13,290,271.8,1,0.6,3,2,2,17,3.5,1,Agile,0.938,16,1
32,78,459.5,5,2.8,6,4,2,15,4.3,2,Agile,0.888,29,1
24,255,436.0,1,1.0,0,1,5,11,21.0,3,Agile,0.835,33,1
20,262,459.4,5,4.4,5,4,3,12,12.2,2,Waterfall,0.856,0,0
22,50,560.4,3,0.8,4,2,3,19,6.6,3,Waterfall,0.915,37,1
24,88,460.2,2,1.4,3,2,4,14,16.4,5,Agile,0.371,0,0
4,296,556.6,1,6.3,2,3,3,13,8.5,4,Hybrid,0.021,0,0
8,200,460.9,4,2.3,9,1,3,3,5.3,4,Agile,0.901,23,1
12,70,726.4,4,9.0,2,1,2,20,5.1,1,Waterfall,0.061,0,0
7,363,1602.8,3,5.7,3,4,1,17,14.6,3,Agile,0.085,0,0
19,119,660.6,5,3.0,8,2,5,8,13.6,5,Agile,0.973,38,1
28,31,470.1,2,7.0,1,3,3,6,24.1,4,Agile,0.043,0,0
27,340,166.0,3,3.2,4,4,5,20,9.7,4,Agile,0.255,0,0
20,35,1347.6,2,6.1,7,4,3,20,9.5,5,Hybrid,0.114,6,1
35,215,678.1,3,2.0,10,4,3,9,23.5,5,Waterfall,0.831,41,1
24,363,554.2,1,7.3,3,5,3,6,19.9,2,Agile,0.024,0,0
6,224,171.1,3,0.8,6,4,5,17,13.2,2,Agile,0.991,48,1
32,226,568.1,3,1.4,1,2,1,13,0.0,2,Agile,0.105,20,1
24,160,637.2,3,1.6,3,2,3,19,5.5,4,Waterfall,0.727,48,1
27,72,461.8,3,2.2,4,5,1,12,3.6,2,Agile,0.584,1,1
24,222,298.2,4,4.7,7,3,5,12,12.3,5,Waterfall,0.883,39,1
24,331,288.3,3,3.7,7,3,3,4,7.9,5,Agile,0.452,21,1
6,60,1357.8,2,6.1,4,5,5,13,24.8,4,Agile,0.34,0,0
24,325,628.5,2,8.1,6,2,2,8,0.0,1,Waterfall,0.472,0,0
33,169,461.6,4,0.7,3,2,1,5,2.7,4,Hybrid,0.921,23,1
14,210,610.8,5,8.7,1,1,4,16,14.0,2,Hybrid,0.626,29,1
25,85,591.2,4,3.1,3,1,1,8,16.2,3,Agile,0.634,16,1
4,238,281.1,4,11.3,4,4,2,6,0.0,2,Hybrid,0.144,0,0
16,91,906.8,5,2.0,4,3,2,20,0.0,1,Hybrid,0.977,37,1
19,121,547.3,5,0.5,7,2,2,20,9.9,4,Waterfall,0.932,52,1
40,272,632.6,3,5.7,6,2,1,11,22.8,3,Agile,0.523,20,1
11,46,1142.8,1,5.5,5,4,4,7,27.1,4,Agile,0.06,0,0
13,180,302.7,4,1.4,8,1,4,5,8.7,3,Agile,0.965,63,1
18,229,406.2,4,1.5,4,4,2,13,10.6,2,Hybrid,0.953,22,1
40,74,695.2,2,6.5,1,5,2,13,5.3,1,Agile,0.055,0,0
35,129,898.4,5,4.8,3,3,1,13,17.1,2,Waterfall,0.948,27,1
4,145,440.7,5,2.9,4,3,4,16,24.2,5,Agile,0.917,34,1
11,252,453.0,2,5.2,4,3,5,10,22.0,4,Agile,0.661,9,1
34,358,801.1,3,4.5,6,1,3,14,11.8,3,Agile,0.538,33,1
5,310,1542.3,1,1.7,2,4,3,14,5.3,1,Waterfall,0.247,0,0
35,93,620.5,1,6.8,6,2,4,17,12.1,5,Waterfall,0.229,0,0
13,36,405.5,2,5.9,2,3,5,16,23.0,4,Agile,0.415,0,0
37,47,348.8,2,3.7,2,1,5,2,8.8,1,Waterfall,0.784,49,1
14,230,559.6,2,6.5,6,5,1,13,0.0,2,Agile,0.021,0,0
19,82,879.1,1,12.2,2,2,3,20,9.1,1,Waterfall,0.006,0,0
28,107,1866.0,3,1.5,9,1,5,12,9.8,5,Agile,0.994,33,1
7,314,515.4,4,3.0,3,4,4,12,0.0,5,Waterfall,0.609,0,0
24,323,620.9,2,3.1,3,5,5,13,13.9,3,Waterfall,0.792,0,0
22,311,1250.0,3,6.4,3,3,5,12,16.0,1,Agile,0.133,0,0
32,115,689.8,2,2.2,6,1,1,9,26.9,4,Waterfall,0.93,33,1
40,238,662.8,4,6.1,1,5,4,20,1.3,2,Waterfall,0.169,0,0
28,235,1136.0,4,2.4,0,2,3,3,17.8,1,Agile,0.314,0,0
18,92,627.9,5,1.4,7,2,2,17,19.7,2,Waterfall,0.976,63,1
18,215,363.1,1,3.9,5,4,4,5,16.2,2,Waterfall,0.698,17,1
18,206,1027.1,5,2.4,3,2,1,5,3.9,1,Agile,0.403,24,1
33,163,257.7,2,4.2,3,1,3,13,3.5,4,Agile,0.834,26,1
15,282,946.3,1,4.9,5,4,3,14,12.8,2,Agile,0.189,0,0
9,257,597.7,4,0.8,4,2,2,19,12.7,3,Hybrid,0.855,24,1
15,208,518.1,1,2.6,7,5,4,7,7.5,3,Agile,0.571,0,0
3,273,511.7,1,3.9,5,1,5,2,22.3,4,Agile,0.256,15,1
7,286,558.6,5,6.5,8,5,5,6,8.8,4,Hybrid,0.534,26,1
6,220,482.3,2,6.0,4,4,4,12,0.0,3,Agile,0.194,0,0
32,119,737.1,3,1.8,2,2,2,8,10.2,5,Agile,0.043,0,0
30,284,490.5,2,3.2,6,3,5,6,15.8,3,Agile,0.895,48,1
29,271,212.2,1,5.1,3,5,5,19,14.7,1,Agile,0.346,0,0
20,360,599.8,1,3.1,4,1,5,12,14.7,5,Hybrid,0.524,0,0
30,80,205.5,1,2.0,4,5,5,14,24.0,4,Waterfall,0.974,19,1
9,170,598.0,3,3.5,4,3,5,16,3.1,3,Hybrid,0.563,14,1
37,340,477.7,3,4.8,5,5,4,9,8.6,2,Agile,0.792,6,1
22,202,913.7,1,1.7,3,2,4,15,24.4,5,Agile,0.423,9,1
38,346,528.4,2,5.5,5,4,4,20,0.0,3,Agile,0.543,0,0
8,34,851.9,2,4.1,3,5,4,15,11.6,2,Waterfall,0.23,0,0
21,41,806.7,3,5.7,2,2,2,7,21.8,4,Waterfall,0.131,0,0
29,297,817.1,5,3.5,3,1,5,16,21.7,2,Hybrid,0.995,49,1
21,150,1180.2,4,11.0,6,2,4,6,17.3,3,Agile,0.17,0,0
19,204,537.5,5,4.7,1,3,4,3,17.5,4,Hybrid,0.436,0,0
9,173,616.7,1,6.1,0,4,4,10,3.7,2,Waterfall,0.016,0,0
17,167,727.9,2,5.5,6,3,1,11,23.0,1,Waterfall,0.299,0,0
12,345,625.7,4,3.2,1,5,5,10,2.4,2,Waterfall,0.867,19,1
14,61,529.0,2,4.4,6,3,3,6,2.9,1,Waterfall,0.815,18,1
28,289,379.7,5,2.3,2,4,5,7,15.1,2,Agile,0.947,0,0
26,328,603.2,3,10.5,6,5,1,19,8.1,1,Hybrid,0.022,0,0
26,250,272.3,2,5.1,6,5,2,7,13.7,3,Hybrid,0.579,6,1
16,162,197.8,5,1.9,3,2,5,16,15.4,3,Agile,0.992,49,1
39,83,337.3,3,8.9,3,2,4,6,26.2,2,Waterfall,0.633,1,1
6,259,812.7,5,3.3,6,4,4,4,15.5,4,Agile,0.923,6,1
16,187,669.1,3,6.7,6,3,3,3,7.1,1,Agile,0.087,0,0
7,80,816.5,1,0.8,9,3,3,6,17.4,1,Agile,0.871,39,1
15,150,424.2,4,7.9,4,4,3,17,5.3,3,Agile,0.066,0,0
39,353,957.6,1,4.9,6,4,1,10,19.3,1,Waterfall,0.708,0,0
16,119,288.4,4,1.8,2,5,3,15,12.5,5,Waterfall,0.825,13,1
37,89,343.6,3,4.9,4,2,3,20,15.2,2,Hybrid,0.976,21,1
21,259,949.7,4,9.8,5,4,2,2,0.0,3,Agile,0.034,0,0
29,97,646.4,5,2.3,6,2,2,4,0.0,2,Hybrid,0.9,0,0
20,339,818.8,3,2.3,6,5,4,19,0.0,3,Waterfall,0.768,32,1
13,318,670.5,5,3.2,4,1,4,12,26.0,1,Agile,0.953,62,1
32,360,453.9,1,3.9,4,4,3,13,2.8,5,Waterfall,0.266,0,0
39,336,323.3,1,7.0,4,1,4,8,17.9,1,Hybrid,0.911,25,1
13,111,224.3,5,5.1,3,5,2,17,6.9,2,Waterfall,0.893,5,1
32,101,1300.4,3,3.2,3,5,3,14,10.1,5,Agile,0.025,0,0
12,145,252.7,3,4.5,2,5,3,6,11.6,3,Waterfall,0.377,0,0
30,187,1117.9,1,10.9,3,4,2,14,25.2,4,Waterfall,0.009,0,0
32,325,629.7,2,5.8,8,3,1,2,16.7,1,Waterfall,0.506,30,1
20,276,680.2,4,3.4,8,2,3,6,15.1,2,Agile,0.94,50,1
31,246,659.4,5,3.1,1,5,5,5,22.4,4,Hybrid,0.922,16,1
13,325,771.1,5,4.4,3,3,3,16,6.9,2,Hybrid,0.886,29,1
6,247,404.3,3,7.0,5,5,5,15,20.5,3,Agile,0.603,0,0
6,157,184.1,3,2.0,2,4,5,3,19.2,1,Agile,0.658,29,1
19,168,449.3,1,6.3,4,4,4,19,19.1,3,Agile,0.145,0,0
37,203,740.7,1,3.4,4,2,5,17,10.8,2,Waterfall,0.752,14,1
7,59,345.3,3,3.8,2,3,3,10,8.5,5,Hybrid,0.295,8,1
20,279,968.7,3,16.6,3,3,4,6,5.0,2,Agile,0.002,0,0
29,249,563.5,1,5.9,2,4,1,9,5.5,5,Agile,0.031,0,0
10,275,329.4,3,2.5,7,4,2,13,4.7,5,Waterfall,0.927,0,0
30,209,643.4,4,4.9,5,1,3,13,14.9,5,Waterfall,0.92,37,1
14,293,734.8,5,7.2,5,2,1,8,10.2,4,Agile,0.096,0,0
33,349,759.8,5,5.9,3,1,4,3,15.5,3,Hybrid,0.554,40,1
25,221,115.6,2,0.4,1,3,5,13,15.9,3,Agile,0.928,36,1
23,179,106.9,2,3.6,5,4,1,15,3.5,1,Agile,0.853,16,1
9,65,950.2,5,5.1,3,2,5,7,3.3,1,Agile,0.541,0,0
20,291,277.2,4,4.8,2,4,1,14,10.2,2,Agile,0.104,0,0
35,333,950.8,2,2.6,4,1,1,12,5.8,4,Waterfall,0.935,27,1
3,265,992.2,4,6.0,2,5,4,11,5.0,1,Waterfall,0.354,0,0
31,320,323.7,1,7.9,2,4,4,2,25.6,5,Agile,0.041,0,0
21,319,356.5,3,0.8,2,4,5,7,0.0,5,Waterfall,0.611,0,0
30,298,838.3,2,0.7,6,4,3,9,28.2,1,Waterfall,0.953,49,1
28,198,492.0,5,4.9,5,2,3,17,14.3,1,Agile,0.959,41,1
19,63,1061.5,1,6.3,4,5,1,17,19.9,5,Waterfall,0.039,0,0
14,31,1201.4,5,2.3,3,4,4,18,18.9,1,Hybrid,0.763,36,1
26,98,329.2,2,0.4,8,1,5,10,16.9,1,Hybrid,0.995,47,1
8,174,400.4,1,3.7,2,5,3,8,25.3,1,Hybrid,0.119,0,0
25,279,627.7,4,4.9,3,4,5,11,3.3,4,Hybrid,0.878,33,1
6,183,181.4,4,3.0,8,2,2,17,10.7,1,Waterfall,0.994,57,1
27,37,227.7,1,7.3,5,5,5,13,5.2,1,Agile,0.144,0,0
26,100,378.0,1,4.6,5,2,3,13,0.0,2,Agile,0.165,0,0
6,359,1398.2,1,2.1,4,4,1,10,6.7,4,Waterfall,0.193,0,0
31,361,673.5,3,2.3,5,4,2,15,27.0,5,Hybrid,0.638,22,1
18,156,432.7,1,3.7,4,5,3,18,10.6,2,Waterfall,0.336,24,1
32,300,355.1,4,2.8,6,3,1,14,27.9,2,Agile,0.778,0,0
4,271,321.8,1,0.7,10,5,5,9,28.7,3,Agile,0.773,31,1
9,342,448.3,4,4.4,5,2,2,17,36.0,3,Hybrid,0.902,27,1
21,328,435.8,5,2.4,3,5,4,19,27.2,4,Agile,0.819,0,0
10,241,534.9,4,2.7,3,2,5,17,30.9,2,Agile,0.994,37,1
15,162,751.4,5,1.5,3,5,3,18,14.6,4,Waterfall,0.898,23,1
28,240,574.9,5,10.0,4,4,4,7,13.8,5,Agile,0.031,0,0
8,137,862.0,1,5.7,1,4,3,10,14.4,4,Agile,0.002,0,0
28,146,516.5,2,11.6,3,1,4,6,12.0,4,Agile,0.037,0,0
6,234,1245.4,4,3.0,6,3,1,8,13.2,1,Agile,0.42,19,1
9,221,852.1,2,5.9,2,1,2,15,18.0,5,Waterfall,0.344,1,1
25,225,664.8,4,4.4,2,5,4,14,8.3,4,Waterfall,0.584,8,1
33,159,752.6,4,2.2,1,2,1,2,1.0,4,Hybrid,0.087,0,0
9,167,454.2,5,2.9,6,5,5,16,14.9,1,Waterfall,0.943,78,1
14,33,530.7,2,5.6,4,5,4,5,6.5,3,Agile,0.026,0,0
38,232,520.9,2,1.5,2,1,1,5,7.3,4,Agile,0.563,27,1
40,223,407.8,1,7.4,1,4,1,12,10.9,4,Hybrid,0.01,0,0
25,344,294.5,2,4.2,4,2,1,6,9.0,1,Waterfall,0.785,47,1
19,199,772.0,2,6.7,7,1,4,20,20.9,1,Waterfall,0.598,27,1
16,187,926.4,3,4.9,3,2,3,4,10.7,3,Hybrid,0.246,0,0
26,52,720.5,3,0.8,4,3,3,4,21.3,4,Agile,0.694,36,1
25,96,574.1,5,3.6,2,5,3,16,13.6,2,Agile,0.858,7,1
14,143,1512.6,4,7.5,4,4,3,7,11.3,4,Agile,0.051,0,0
3,156,430.1,4,4.1,3,2,2,15,13.3,5,Agile,0.167,0,0
8,151,675.6,1,3.7,5,2,1,14,1.7,5,Hybrid,0.313,1,1
39,162,989.6,3,4.1,6,2,1,5,14.7,4,Agile,0.295,0,0
18,288,338.6,4,0.6,4,4,4,13,18.8,4,Hybrid,0.976,28,1
21,74,800.0,2,8.0,3,3,4,12,19.9,1,Hybrid,0.084,0,0
20,141,1284.7,3,0.3,1,1,2,3,1.2,1,Agile,0.564,3,1
32,84,597.1,4,9.1,1,1,2,16,0.0,4,Agile,0.029,0,0
5,133,647.0,4,2.8,1,1,3,18,7.7,5,Agile,0.439,0,0
6,260,431.3,5,5.1,2,5,4,19,23.1,1,Hybrid,0.891,0,0
13,45,748.6,3,0.6,5,3,3,3,13.8,3,Agile,0.444,21,1
21,144,402.9,2,6.3,5,3,3,5,5.8,2,Waterfall,0.308,9,1
28,37,580.2,2,5.6,2,4,1,17,0.4,1,Hybrid,0.154,3,1
21,350,276.3,4,5.4,0,1,3,7,6.5,2,Agile,0.325,0,0
19,274,140.1,3,0.5,7,1,4,13,6.0,3,Hybrid,0.964,57,1
38,111,473.8,3,1.9,6,2,3,8,19.5,4,Agile,0.913,16,1
9,96,470.1,1,4.9,2,2,5,6,20.1,5,Agile,0.056,0,0
24,63,493.7,3,7.8,5,4,4,13,3.6,5,Agile,0.075,0,0
23,188,839.9,2,1.7,3,5,5,5,18.0,1,Agile,0.626,0,0
20,283,938.8,3,1.7,3,4,3,4,17.2,5,Waterfall,0.638,13,1
33,226,689.0,5,4.7,3,5,3,12,2.6,3,Agile,0.367,1,1
13,326,812.2,4,15.7,1,3,3,5,11.3,1,Agile,0.001,0,0
39,145,408.6,3,2.2,4,2,2,5,14.7,4,Hybrid,0.698,30,1
15,123,361.0,5,2.8,3,2,3,16,13.3,1,Waterfall,0.985,51,1
23,190,755.8,5,2.4,1,1,1,12,0.0,3,Waterfall,0.82,28,1
22,97,336.4,3,3.4,3,5,3,12,13.0,5,Agile,0.151,0,0
35,357,317.9,4,8.3,4,4,1,4,17.1,5,Waterfall,0.097,0,0
19,92,1896.7,2,3.5,4,4,3,5,24.6,2,Waterfall,0.587,0,0
13,190,615.6,5,16.6,3,2,5,9,6.6,1,Agile,0.018,0,0
3,205,470.2,2,4.0,4,4,3,9,7.6,3,Agile,0.241,0,0
16,49,444.4,2,8.8,2,2,4,10,10.3,1,Agile,0.168,1,1
34,187,280.3,1,2.9,8,3,3,4,14.3,5,Agile,0.531,24,1
3,182,682.2,5,1.2,7,4,5,19,12.8,2,Hybrid,0.992,49,1
37,117,515.9,2,3.5,3,5,2,8,16.8,1,Agile,0.345,0,0
23,72,926.2,5,5.4,4,3,5,17,3.0,2,Agile,0.715,35,1
8,45,766.9,1,2.0,4,4,4,9,15.2,2,Waterfall,0.105,0,0
14,32,507.5,3,7.9,3,3,5,10,6.1,4,Hybrid,0.054,0,0
24,191,205.1,3,2.5,4,3,1,4,10.9,5,Hybrid,0.327,36,1
14,60,616.4,3,1.5,3,5,5,14,25.7,4,Waterfall,0.694,0,0
7,352,590.2,1,14.6,6,5,5,3,0.8,4,Agile,0.001,0,0
28,112,184.1,1,1.9,1,2,2,16,9.8,2,Agile,0.588,19,1
28,249,725.5,2,2.5,4,5,4,18,1.8,5,Agile,0.323,0,0
7,256,330.7,3,6.0,6,3,3,8,13.2,5,Agile,0.145,0,0
13,196,949.0,4,2.9,4,4,1,18,20.4,4,Waterfall,0.666,5,1
12,326,573.1,3,1.6,1,3,3,15,13.4,4,Agile,0.841,2,1
28,67,438.3,2,2.3,0,4,4,2,11.1,2,Hybrid,0.337,0,0
30,108,658.0,2,12.1,4,5,2,5,22.6,3,Waterfall,0.006,0,0
30,114,638.8,4,5.5,4,3,2,14,14.6,5,Waterfall,0.328,7,1
38,75,627.6,3,6.3,3,4,3,15,18.6,3,Waterfall,0.46,15,1
32,129,890.0,5,4.5,1,3,5,3,17.7,4,Hybrid,0.476,28,1
15,135,677.1,3,5.1,8,4,1,15,0.0,5,Waterfall,0.063,0,0
7,286,419.4,3,2.7,2,1,5,17,11.4,5,Waterfall,0.625,43,1
26,131,523.5,1,4.1,3,4,5,3,3.4,2,Agile,0.398,14,1
37,324,1108.5,1,0.5,5,3,5,18,5.4,3,Agile,0.925,28,1
40,289,401.1,5,7.1,4,3,1,12,23.8,2,Agile,0.868,12,1
11,332,719.9,2,2.7,3,2,3,13,9.0,3,Hybrid,0.575,16,1
11,65,905.4,3,1.3,2,4,2,2,27.1,4,Waterfall,0.164,0,0
4,360,752.9,3,4.3,4,2,5,13,0.7,2,Agile,0.451,0,0
8,236,618.2,1,3.2,4,1,4,10,3.3,2,Agile,0.115,0,0
24,360,664.1,3,7.0,7,5,4,9,18.1,2,Waterfall,0.295,0,0
23,149,775.4,2,3.6,6,3,1,16,9.3,4,Hybrid,0.358,0,0
17,350,398.8,1,2.2,6,1,5,6,14.5,5,Agile,0.856,27,1
